,document_name,sentence,potential_measurements
22,S0012821X13007309-1691.txt,"The δ13Corg record has a narrow variation in background values prior to OAE 2, ∼−25.9 to −26.5‰. The characteristic positive excursion in δ13Corg is a 4‰ shift, −27.2 to −23.1‰, occurring within <0.5 m (Fig. 2; Supplementary Material, Table 1e).","[['ORG', 108, 109], ['CARDINAL', 111, 112], ['CARDINAL', 114, 115], ['CARDINAL', 121, 122], ['ORG', 124, 125], ['CARDINAL', 126, 127]]"
23,S0019103511004994-1399.txt,"Enceladus, one out of currently 62 satellites of Saturn, orbits the planet at a distance of 3.95 Saturn radii RS (1RS = 60,268 km) and is embedded in the radiation belts of Saturn’s inner magnetosphere.","[['NORP', 0, 1], ['CARDINAL', 2, 3], ['CARDINAL', 6, 7], ['PRODUCT', 9, 10], ['CARDINAL', 18, 19], ['PRODUCT', 19, 20], ['ORG', 21, 22], ['CARDINAL', 23, 24], ['QUANTITY', 25, 27], ['MONEY', 36, 38]]"
24,S0019103511004994-1399.txt,"Even with a small radius REnc of only 252 km and an apparent similarity to other icy moons, this moon is by far the most important internal source of dust, neutral gas and plasma in the saturnian system and especially in the magnetosphere.","[['ORG', 46, 47]]"
25,S0019103511004994-1399.txt,"As already inferred from data of the first flybys of the Pioneer 11 (1979), Voyager 1 (1980) and Voyager 2 (1981) spacecraft, respectively (Smith et al., 1981; Krimigis et al., 1982), this moon plays the same role Io does for the jovian system.","[['ORDINAL', 94, 95], ['DATE', 101, 102], ['DATE', 107, 108], ['PRODUCT', 110, 112], ['DATE', 113, 114], ['DATE', 124, 125], ['DATE', 131, 132], ['LOC', 140, 141]]"
26,S0019103511004994-1399.txt,"The Cassini spacecraft, in orbit around Saturn since July 2004, has flown by Enceladus 14 times between 2005 and 2010.","[['PERSON', 148, 149], ['PRODUCT', 154, 155], ['DATE', 156, 158], ['ORG', 162, 164], ['DATE', 165, 169]]"
27,S0019103511004994-1399.txt,"Data from Cassini instrument teams identified a plume of water geysers above the so called “tigerstripes” on the south pole of the moon (Dougherty et al., 2006; Porco et al., 2006).","[['GPE', 172, 173], ['DATE', 201, 202], ['PERSON', 203, 204], ['DATE', 208, 209]]"
28,S0019103511004994-1399.txt,This discovery is one of the most important findings to better understand the saturnian magnetosphere.,[]
29,S0019103511004994-1399.txt,"The material released in the form of water gas, ice molecules and dust (Waite et al., 2006; Spahn et al., 2006) from those geysers is the main source of the E-ring and the neutral torus and is the major plasma source of water group ions in the magnetosphere.","[['DATE', 247, 248], ['DATE', 254, 255]]"
30,S0019103511004994-1399.txt,(2009).,"[['DATE', 304, 305]]"
31,S2213671113000908-640.txt,(C) C-peptide and PDX1 expression was confirmed by immunocytochemistry of cells differentiated for 25 days.,"[['ORG', 7, 8], ['DATE', 17, 19]]"
32,S2213158213000302-1597.txt,"The MMNm component is an early (between 100 and 200 ms), automatic or largely pre-attentive response (Naatanen et al., 2007).","[['CARDINAL', 29, 33], ['LOC', 44, 45], ['DATE', 49, 50]]"
33,S2213158213000302-1597.txt,"Particularly relevant is that a prefrontal contribution to change detection also occurs within this early time window, demonstrated in Garrido and colleagues' dynamic causal modelling of a roving oddball paradigm (Garrido et al., 2008) and the effects of frontal lesions (Alho et al., 1994).","[['GPE', 72, 73], ['DATE', 104, 105]]"
34,S2213158213000302-1597.txt,"This suggests that if the prefrontal cortical dysfunction in the two patient groups is the cause of the altered network response, then this affects the very early stages of stimuli processing.","[['CARDINAL', 117, 118]]"
35,S2213158213000302-1597.txt,"Although this early component is distinct from the later M300 response, which reflects attentional processing (Wronka et al., 2008), it is still relevant to high order cognitive processes, (Naatanen et al., 2007, 2012).","[['LOC', 176, 177], ['DATE', 181, 182], ['DATE', 183, 184]]"
36,S0925443913001385-1646.txt,"In order to determine whether the MRPL12 mutation also induced changes in composition and assembly of the mitochondrial ribosomal large and small subunits, mitochondrial lysates from cultured fibroblasts (subject and control) were fractionated on isokinetic sucrose gradients (10–30%, as in Ref.","[['PERCENT', 41, 43], ['GPE', 46, 47]]"
37,S0925443913001385-1646.txt,[47]).,"[['CARDINAL', 49, 50]]"
38,S0925443913001385-1646.txt,"On analysis MRPL12 from the patient was substantially decreased in all fractions but detectable in the fractions consistent with mt-LSU; however it was noticeably absent from the free pool (fractions 1 and 2, Fig. 5).","[['CARDINAL', 114, 115], ['CARDINAL', 116, 117], ['PERSON', 118, 119], ['CARDINAL', 120, 121]]"
39,S0925443913001385-1646.txt,"This was in contrast to the control that exhibited a pool of free MRPL12, which has been reported to interact with POLRMT [56].","[['ORG', 145, 146], ['CARDINAL', 147, 148]]"
40,S0925443913001385-1646.txt,"The MRPL12 mutation impacted more modestly on the small ribosomal subunit, with DAP3 apparently unaffected and MRPS18B found in lower amounts only in fractions 4 and 5 but otherwise with similar steady state levels and distribution profile compared to control.","[['CARDINAL', 193, 194], ['CARDINAL', 195, 196]]"
41,S0925443913001385-1646.txt,"Since POLRMT and MRPL12 have been published as interactors, we analyzed both the steady state level and gradient distribution of POLRMT to see if these were affected by the MRPL12 mutation.","[['ORG', 211, 212], ['ORG', 231, 232]]"
42,S0925443913001385-1646.txt,"Overall levels in the subject sample were decreased to 63% of control value (Fig. 5B) but distribution in the gradient appeared largely unaffected with the exception of fraction 11, where levels were lower than control (Fig.","[['PERCENT', 252, 254], ['ORG', 258, 259], ['CARDINAL', 260, 261], ['DATE', 275, 276], ['PERSON', 284, 285]]"
43,S0167610513001001-739.txt,Median wind speed is 7.83 m s−1.,"[['NORP', 16, 17], ['CARDINAL', 20, 21]]"
44,S0167577X13006393-399.txt,The pure PLGA spectrum shows the C3O characteristic bands in the region 1065–1280 cm−1.,"[['NORP', 36, 37], ['CARDINAL', 46, 47]]"
45,S0167577X13006393-399.txt,"The spectrum of HA nanopowder reveals the characteristic peak assigned to PO43−: ν1 vibration mode at about 964 cm−1, ν3 vibration mode at 1031 cm−1 and 1091 cm−1 (asymmetric) respectively.","[['PERSON', 60, 61], ['CARDINAL', 66, 68], ['DATE', 74, 75], ['DATE', 77, 78]]"
46,S0167577X13006393-399.txt,The spectrum of untreated PLGA–HA 50% displays both characteristics of PLGA and HA.,"[['PERCENT', 91, 93], ['ORG', 97, 98]]"
47,S1550413113004920-1509.txt,We recruited 147 patients from consanguineous pedigrees (parents of the proband were second cousins or more closely related) who were diagnosed with permanent diabetes before 6 months of age or were diagnosed with permanent diabetes before 9 months and had any additional clinical features that made a diagnosis of type 1 diabetes less likely.,"[['CARDINAL', 2, 3], ['ORDINAL', 13, 14], ['DATE', 27, 31], ['DATE', 38, 40], ['CARDINAL', 52, 53]]"
48,S0167610512002292-3187.txt,"For each of the 7 initial orientations, a case, numbered 4 in Table 2, was run using a 0.563 m square plate of thickness 0.025 m.","[['CARDINAL', 4, 5], ['CARDINAL', 12, 13], ['QUANTITY', 21, 24], ['CARDINAL', 27, 28]]"
49,S0167610512002292-3187.txt,"The density of the plate was adjusted to ensure that at the mean horizontal wind flow, the Tachikawa number, K and Froude number Fr are the same as in the number 1 cases.","[['ORG', 47, 48], ['PERSON', 54, 55], ['CARDINAL', 62, 63]]"
50,S0167610512002292-3187.txt,"The result is two sets of cases, A1 to G1 and A4 to G4, with the same set of initial orientations, aspect ratio and flow parameter but considerably lower thickness ratio, τ=t/L, and non-dimensionalised mass moment of inertia about the Z-axis, Δzz, in the A4 to G4 cases.","[['CARDINAL', 68, 69], ['PERSON', 73, 74], ['PRODUCT', 77, 78], ['CARDINAL', 79, 80], ['PRODUCT', 124, 125], ['CARDINAL', 126, 127]]"
51,S0167610512002292-3187.txt,"Similarly a fifth case, numbered 5 in Table 2 is run for each initial orientation, and the plate's K, FrL, τ and Δzz are kept constant relative to cases numbered 4, but the width of the plate, B is increased to give a higher aspect ratio.","[['ORDINAL', 131, 132], ['CARDINAL', 135, 136], ['ORG', 150, 153], ['CARDINAL', 164, 165]]"
52,S0927024813002961-1051.txt,"Specific consideration is given to the accuracy of module inter-comparisons, as most outdoor monitoring at this scale is conducted to compare devices against one another.",[]
53,S0927024813002961-1051.txt,It is shown that there are five main contributors to differences in energy delivery and the magnitude of these depends on the environments in which the devices are operated.,"[['CARDINAL', 129, 130]]"
54,S0927024813002961-1051.txt,"The paper shows that two effects, typically not considered in inter-comparisons, dominate the reported energy delivery.","[['CARDINAL', 157, 158]]"
55,S0927024813002961-1051.txt,"Environmental influences such as light intensity, spectrum and operating temperature introduce performance variations typically in the range of 2–7% in the course of a year.","[['PERCENT', 193, 195], ['DATE', 199, 201]]"
56,S0927024813002961-1051.txt,"Here, the power rating is a key factor and adds uncertainty for new technologies such as thin films often in the range of 10–15%.","[['PERCENT', 247, 249]]"
57,S0927024813002961-1051.txt,"This dominates inter-comparisons looking at as-new, first-year energy yields, yet considering the life-time energy yield it is found that ageing causes up to 25% variation between different devices.","[['DATE', 261, 264], ['PERCENT', 283, 285]]"
58,S0019103512003995-1767.txt,"(2001) looked for absorption by species such as Na,H,He,CH+,CO+,N2+, and H2O+ in the upper atmosphere of HD209458b.","[['DATE', 5, 6], ['ORG', 14, 17], ['ORG', 24, 25]]"
59,S0019103512003995-1767.txt,(2003) who attempted to measure the transit depth in the He 1083 nm line that was predicted to be significant by Seager and Sasselov (2000).,"[['DATE', 42, 43], ['ORG', 64, 67]]"
60,S0019103512003995-1767.txt,(2004) and Narita et al.,"[['DATE', 83, 84]]"
61,S0019103512003995-1767.txt,"(2005) who looked for transits in the Na D, Li,","[['DATE', 91, 92], ['LOC', 98, 101], ['PERSON', 102, 103]]"
62,S0012821X12004384-952.txt,Carbon isotopic results of total organic matter (δ13CTOC) and amorphous organic matter (δ13CAOM) against core 22/10a-4 lithology and Apectodinium spp.,"[['CARDINAL', 19, 20]]"
63,S0012821X12004384-952.txt,Blue=bulk rock δ13CTOC; black=δ13CAOM; solid red symbols=bulk rock δ13CTOC from samples with <30% wood/plant tissue (determined from palynological residue of the sample); open red symbols=bulk rock δ13CTOC from samples with >30% wood/plant tissue.,"[['PERCENT', 50, 52], ['PERCENT', 76, 79]]"
64,S0012821X12004384-952.txt,"The first appearance of Apectodinium augustum identifies the PETM in the North Sea (Bujak and Brinkhuis, 1998), and the first negative shift in δ13C identifies the approximate position of the CIE onset and the Paleocene–Eocene boundary.","[['ORDINAL', 85, 86], ['LOC', 94, 97], ['PERSON', 98, 99], ['GPE', 100, 101], ['DATE', 102, 103], ['ORDINAL', 107, 108], ['ORG', 118, 119]]"
65,S0012821X12004384-952.txt,Values shaded at 2614.7 and 2619.6 m are considered possible outliers based on statistical analysis of the palynological residues (see Section 4.1).,"[['CARDINAL', 130, 131], ['CARDINAL', 132, 133], ['LAW', 148, 150]]"
66,S2213158213000582-1340.txt,The average percent variance explained for gradiometer data using VESTAL was 95.81% for HC and 94.38% for SZ.,"[['FAC', 53, 54], ['PERCENT', 55, 57], ['ORG', 58, 59], ['PERCENT', 60, 62], ['GPE', 63, 64]]"
67,S2213158213000582-1340.txt,The average percent variance explained for magnetometer data using VESTAL program was 96.24% for HC and 93.17% for SZ.,"[['ORG', 74, 75], ['PERCENT', 77, 79], ['ORG', 80, 81], ['PERCENT', 82, 84], ['PERSON', 85, 86]]"
68,S2213158213000582-1340.txt,"1.16, p = 0.25) or magnetometer data (t(39) = 1.31, p = 0.20).","[['CARDINAL', 103, 104], ['CARDINAL', 107, 108], ['CARDINAL', 116, 117], ['CARDINAL', 120, 121]]"
69,S0167577X14001256-389.txt,"One-dimensional composition profiles of Fe, Cr, Ni, Mo, Mn, Ti, Nb, C, Si, and P across SD 1 and SD 2 are shown in (a) and (d), respectively, and (b) and (e) show the same at higher magnification (12×).","[['CARDINAL', 0, 1], ['ORG', 6, 26], ['CARDINAL', 60, 61]]"
70,S0167577X14001256-389.txt,These elemental compositions were obtained along the arrow of 4 nm width shown in the insets in (c) and (f).,"[['CARDINAL', 72, 73]]"
71,S2211124713006475-841.txt,(O) GH plasma levels using a human specific ELISA (6 weeks after transplantation).,"[['ORG', 10, 11], ['DATE', 12, 14]]"
72,S0025322712001600-2406.txt,Estimates of mineral composition were made by a reference intensity ratio method based on factors calculated with the Newmod programme as described in Hillier (2003).,"[['ORG', 39, 40], ['DATE', 46, 47]]"
73,S0025322712001600-2406.txt,"Illite crystallinity was measured using the full width at half maximum (FHWM) of the 001 basal illite peak and integral breadth (I Breadth) of the same peak (Kübler and Jaboyedoff, 2000).","[['CARDINAL', 58, 59], ['ORG', 61, 62], ['CARDINAL', 65, 66], ['PERSON', 74, 75], ['PERSON', 81, 82]]"
74,S0025322712001600-2406.txt,"Both measurements are measured as values of ∆2°θ and show identical trends (Alizai et al., 2012).","[['DATE', 108, 109]]"
75,S0025322712001600-2406.txt,"Because our cores are < 9 m long, post-depositional burial diagenesis should not be a significant factor in clay mineral composition.","[['CARDINAL', 116, 117]]"
76,S0025322712001600-2406.txt,"Where clay mineral values are greater than 10% uncertainty is estimated as better than 5% weight at the 95% confidence level (Hillier, 2003).","[['PERCENT', 141, 145], ['PERCENT', 151, 153], ['PERCENT', 156, 158], ['DATE', 163, 164]]"
77,S0025322712001600-2406.txt,Clay mineral estimates are shown in Table 1.,"[['LAW', 172, 174]]"
78,S0012821X12004384-1232.txt,"As 22/10a-4 is in the deep (>0.5 km) central part of the basin, it acted as a depocentre and exhibits a Paleocene-Eocene transition sequence that is not only expanded but is also close to being stratigraphically complete.","[['CARDINAL', 1, 2], ['QUANTITY', 8, 10], ['ORG', 25, 28]]"
79,S0012821X12004384-1232.txt,The only evidence for breaks in the succession is minor erosion at the base of thin turbidite sandstones (typically <10 cm).,"[['QUANTITY', 65, 67]]"
80,S0012821X12004384-1232.txt,"During the late Paleocene, the basin became restricted following a fall in in the order of 100 m that resulted from regional uplift associated with the proto-Iceland mantle plume in the North Atlantic (see Knox, 1996).","[['PERSON', 88, 89], ['CARDINAL', 102, 103], ['LOC', 118, 121], ['ORG', 123, 124], ['DATE', 125, 126]]"
81,S0012821X12004384-1232.txt,"This event is evident in 22/10a-4 as a lithologic change from unbedded to bedded mudstone (the Lista and Sele Formation boundary, Fig. 2).","[['CARDINAL', 133, 134], ['ORG', 145, 146], ['PERSON', 147, 149], ['PERSON', 151, 152], ['CARDINAL', 153, 154]]"
82,S0012821X12004384-1232.txt,"Restriction of the basin also led to the establishment of poorly oxygenated bottom waters, as is evident by a shift in the benthic foraminiferal assemblages towards low diversity low oxygen-tolerant agglutinated species (Knox, 1996).","[['ORG', 192, 193], ['DATE', 194, 195]]"
83,S0012821X12004384-1232.txt,"The CIE at the Paleocene–Eocene boundary was accompanied by a relative sea level rise, as documented in southeast England (Powell et al., 1996) and Spitsbergen (Harding et al., 2011), due to the thermal expansion of sea water and possible melting of ice caps, although the North Sea basin remained restricted as evidenced by the persistence of low oxygen facies in 22/10a-4.","[['ORG', 198, 199], ['GPE', 218, 219], ['PERSON', 220, 221], ['DATE', 225, 226], ['ORG', 228, 229], ['DATE', 235, 236], ['LOC', 255, 257], ['DATE', 270, 271]]"
84,S0012821X12004384-1232.txt,"The North Sea had a widespread freshwater catchment area, and a halocline was in place from the late Paleocene to early Eocene (Zacke et al., 2009).","[['LOC', 272, 275], ['DATE', 301, 302]]"
85,S2213671113000738-684.txt,"In sequential PET studies, we observed increased uptake of [11C]PK11195 in one allograft (animal No. 10) at 3 months (Figures 3A and 3B).","[['ORG', 2, 3], ['CARDINAL', 13, 14], ['CARDINAL', 19, 20], ['DATE', 22, 24], ['CARDINAL', 26, 27]]"
86,S2213671113000738-684.txt,"Intriguingly, the serum level of IFN-γ temporarily increased at 2 months after the transplant in three animals (Figure 3C).","[['ORG', 59, 60], ['DATE', 65, 67], ['CARDINAL', 71, 72]]"
87,S2213671113000738-684.txt,"An immunofluorescence study conducted at 3.5–4 months showed that MHC-II+ cells were more frequently found in allografts than in autografts, especially in the monkey with increased uptake of [11C]PK11195 (Figure 3D, No. 10).","[['DATE', 83, 85], ['CARDINAL', 117, 118]]"
88,S2213671113000738-684.txt,"The MHC-II staining never overlapped with that of GFP of the donor cells (Figure 3F), whereas it generally overlapped with that of IBA1 (Figure 3G), indicating that MHC-II was expressed by host-derived microglia.","[['ORG', 130, 131], ['CARDINAL', 137, 138], ['GPE', 147, 148], ['CARDINAL', 150, 151]]"
89,S2213671113000738-684.txt,An immunofluorescence study revealed that more CD45+ cells (a marker for pan-leukocytes) accumulated in allografts compared with autografts (Figures 3I and 3J).,"[['PRODUCT', 220, 221], ['CARDINAL', 239, 240]]"
90,S2213671113000738-684.txt,"Most of the CD45+ cells were CD3+ T cells, and 60% of them were CD8+ killer T cells (Figures 3K and 3L).","[['PRODUCT', 247, 248], ['PERCENT', 257, 259], ['CARDINAL', 269, 271], ['CARDINAL', 272, 273]]"
91,S0012821X12004384-1221.txt,"During the late Paleocene–early Eocene the North Sea was a restricted marine basin, characterised by siliciclastic sedimentation and high terrigenous input, principally from the Scotland–Faeroe–Shetland landmass (Knox 1998, Fig.","[['LOC', 7, 10], ['GPE', 28, 29], ['DATE', 35, 37], ['PERSON', 38, 39]]"
92,S0012821X12004384-1221.txt,Core 22/10a-4 is located in the central part of the basin (Figs. 1 and S1) and is therefore disconnected from many marginal marine processes that could mask oceanographic signals (e.g. tidal or storm-induced erosion and slumping).,"[['PERSON', 43, 45]]"
93,S0012821X12004384-1221.txt,"Paleobathymetry estimates in the North Sea during the Paleocene and Eocene are difficult to constrain accurately, as the extant benthic foraminifera present in the Paleogene are found today living between 200 and >1000 m water depth (Gradstein et al., 1992), and are controlled predominantly by substrate and bottom water properties.","[['LOC', 90, 93], ['PERSON', 97, 98], ['PERSON', 112, 113], ['DATE', 115, 116], ['CARDINAL', 117, 122], ['PERSON', 126, 127], ['DATE', 131, 132]]"
94,S0012821X12004384-1221.txt,"However using a number of paleoecologic micropaleontology methods together (Gillmore et al., 2001), along with 2D structural restoration (Kjennerud and Sylta, 2001), broad agreement was found and central parts of the northern North Sea appear to have had paleodepths of >0.5 km in the earliest Eocene near 22/10a-4 (Kjennerud and Gillmore, 2003, Fig.","[['DATE', 160, 161], ['CARDINAL', 165, 166], ['ORG', 169, 170], ['GPE', 171, 172], ['DATE', 173, 174], ['LOC', 186, 188], ['QUANTITY', 195, 197], ['PERSON', 200, 201], ['DATE', 202, 203], ['ORG', 204, 207], ['DATE', 208, 209], ['PERSON', 210, 211]]"
95,S1359835X13001875-1359.txt,"Our model consists of a two-dimensional square system, with pre-set side length of L = 1 m, containing N = 1000 discrete particles.","[['CARDINAL', 5, 6], ['CARDINAL', 20, 21], ['CARDINAL', 26, 27]]"
96,S1359835X13001875-1359.txt,"The overall coverage of particles in the material is given by the number density, λ = N/L2 (fixed at 1000 m−2) and the area fraction, Af=λa¯, where a¯ is the mean cross-sectional area of a particle.","[['ORG', 47, 50]]"
97,S1359835X13001875-1359.txt,Periodic boundary conditions are applied to the edges of the system to reduce finite size effects [22].,"[['CARDINAL', 95, 96]]"
98,S0006322312001096-1248.txt,"After adjustment for multiple covariates (age, sex, marital status, education, socioeconomic status, retirement, cognitive impairment, body mass index, alcohol consumption, menopausal status [women], and nonvascular chronic condition), the association between vascular disease and subsequent CES-D depressive symptoms remained in participants with no prevalent or previous depressive episodes, as indicated by the Composite International Diagnostic Interview (Table 3).","[['ORG', 68, 75]]"
99,S0006322312001096-1248.txt,"Higher stroke risk score was associated with higher odds of onset of CES-D depressive symptoms before (odds ratio 2.30, 95% CI 1.03–5.13), but not after, the age 65.","[['CARDINAL', 99, 100], ['PERCENT', 101, 103], ['CARDINAL', 104, 105], ['DATE', 111, 114]]"
100,S0006322312001096-1278.txt,"However, although the stroke risk score was associated with depressive symptoms before the age of 65, we found little evidence to suggest that standard clinical information on preclinical vascular risk status would be helpful in the prediction of depressive symptoms after the age of 65 years.","[['DATE', 66, 70], ['DATE', 96, 101]]"
101,S1750583613004192-714.txt,"The Sleipner plume profile, viewed from the southeast, circa July 2002.","[['PERSON', 1, 2], ['DATE', 11, 13]]"
102,S1750583613004192-714.txt,"The figure shows the distribution of injected CO2 after 5 Mt of injected CO2 (Bickle et al., 2007).","[['CARDINAL', 23, 24], ['ORG', 27, 32], ['DATE', 34, 35]]"
103,S1750583613004192-714.txt,"The nine plume layers are well defined aerially, having ponded beneath intra-formational shales within the Utsira Sand.","[['CARDINAL', 38, 39]]"
104,S1750583613004192-714.txt,"The ninth layer first appeared in 1999, indicating that the CO2 has migrated approximately 220 m vertically from the injection point (IP) at 1012 mbsl in 3 years.","[['ORDINAL', 68, 69], ['ORDINAL', 70, 71], ['DATE', 73, 74], ['CARDINAL', 82, 83], ['ORG', 90, 91], ['DATE', 93, 94], ['DATE', 96, 98]]"
105,S1750583613004192-714.txt,"The left panel is a regional stratigraphic column: MSL, Mean Sea Level; SWI, Sediment Water Interface; The Nordland Group extends from the caprock to seafloor, and is subdivided into three seals: US, Upper Seal (Pleistocene); MS, Middle Seal (Upper Pliocene); LS, Lower Seal (Upper Pliocene); Utsira, storage site (Middle Miocene–Early Pliocene); HG, Hordland Group (Early Miocene).","[['LOC', 110, 113], ['ORG', 114, 115], ['ORG', 116, 119], ['ORG', 120, 123], ['CARDINAL', 134, 135], ['GPE', 137, 138], ['ORG', 175, 176], ['ORG', 177, 179]]"
106,S0006322312001096-1197.txt,We used three indicators (or proxy measures) to identify persons with depressive symptoms.,"[['CARDINAL', 2, 3]]"
107,S0006322312001096-1197.txt,"First, participants responded to the self-administered 30-item General Health Questionnaire (GHQ) at phases 3, 5, 7, and 9, a screening instrument designed for and widely used in population-based surveys and trials (26).","[['ORDINAL', 16, 17], ['CARDINAL', 25, 26], ['CARDINAL', 36, 37], ['DATE', 38, 39], ['DATE', 40, 41], ['CARDINAL', 43, 44], ['CARDINAL', 61, 62]]"
108,S0006322312001096-1197.txt,"Each questionnaire item enquires about a specific symptom, with response categories scored as either 1 or 0 to indicate whether the symptom is present.","[['CARDINAL', 79, 80]]"
109,S0006322312001096-1197.txt,Total score of 5 or more led to individuals being defined as GHQ-symptom cases and scores 0 to 4 as noncases (27).,"[['CARDINAL', 93, 94], ['CARDINAL', 108, 111], ['CARDINAL', 114, 115]]"
110,S0006322312001096-1197.txt,"Although the GHQ was originally designed to assess depressive and anxiety symptoms, a recent population-based study showed GHQ caseness to be sensitive (84%) and specific (84%) in detecting dysthymia or major depressive disorder, as indicated by the Composite International Diagnostic Interview (28).","[['ORG', 119, 120], ['ORG', 137, 138], ['PERCENT', 143, 145], ['PERCENT', 149, 151], ['ORG', 163, 168], ['CARDINAL', 169, 170]]"
111,S0006322312001096-1197.txt,"The GHQ has also been validated at baseline against a clinical interview schedule in the Whitehall II study, with acceptable sensitivity (73%) and specificity (78%) (27).","[['ORG', 173, 174], ['PERCENT', 195, 197], ['PERCENT', 201, 203], ['CARDINAL', 205, 206]]"
