,document_name,sentence,entities,np
10,S1389128612002496-5994,"Admittedly RED might also drop more legitimate packets than DropTail here, however it achieves a higher normal-TCP-flow throughput ρa than DropTail.","[('ORG', (140, 141))]","[('RED', (116, 117)), ('more legitimate packets', (120, 123)), ('DropTail', (124, 125)), ('it', (128, 129)), ('a higher normal-TCP-flow throughput', (130, 138)), ('DropTail', (140, 141))]"
11,S1389128612002496-5994,The throughput ρa of normal TCP flows is considered to be more important than its drop ratio ra when a network is under an LDDoS attack.,[],"[('The throughput', (142, 144)), ('ρa', (144, 145)), ('normal TCP flows', (146, 149)), ('its drop ratio', (156, 159)), ('ra', (159, 160)), ('a network', (161, 163)), ('an LDDoS attack', (165, 168))]"
12,S0019103512004009-5271,"We calculated the collision frequencies based on the C2 model, and found that collisions with neutral H dominate the transport of heavy neutral atoms such as O below 3.5Rp.",[],"[('We', (0, 1)), ('the collision frequencies', (2, 5)), ('the C2 model', (7, 10)), ('collisions', (14, 15)), ('neutral H', (16, 18)), ('the transport', (19, 21)), ('heavy neutral atoms', (22, 25)), ('3.5Rp', (29, 30))]"
13,S0019103512004009-5271,"At altitudes higher than this, collisions with H+ are more frequent.",[],"[('altitudes', (32, 33)), ('collisions', (37, 38)), ('H+', (39, 40))]"
14,S0019103512004009-5271,In Paper II we demonstrate that a mass loss rate of 6 × 106 kg s−1 is required to prevent diffusive separation of O (the heaviest neutral species detected so far) in the thermosphere.,"[('CARDINAL', (55, 56))]","[('Paper II', (45, 47)), ('we', (47, 48)), ('a mass loss rate', (50, 54)), ('6 × 106 kg', (55, 59)), ('s−1', (59, 60)), ('diffusive separation', (64, 66)), ('the heaviest neutral species', (69, 73)), ('the thermosphere', (78, 80))]"
15,S0019103512004009-5271,The mass loss rate in our models is Ṁ>107kgs-1 and thus O is dragged along to high altitudes by H.,[],"[('The mass loss rate', (81, 85)), ('our models', (86, 88)), ('Ṁ>107kgs-1', (89, 90)), ('high altitudes', (97, 99)), ('H.', (100, 101))]"
16,S0019103512004009-5271,"On the other hand, collisions with H+ dominate the transport of heavy ions such as Si+ as long as the ratio [H+]/[H] ≳ 10−4","[('ORG', (117, 118))]","[('the other hand', (102, 105)), ('collisions', (106, 107)), ('H+', (108, 109)), ('the transport', (110, 112)), ('heavy ions', (113, 115)), ('the ratio', (121, 123))]"
17,S0019103512004009-5271,(Paper II).,[],"[('(Paper II', (128, 131))]"
18,S0019103512004009-5271,This explains why Coulomb collisions in our models are more frequent than heavy ion–H collisions at almost all altitudes apart from the immediate vicinity of the lower boundary.,"[('ORG', (136, 137))]","[('Coulomb collisions', (136, 138)), ('our models', (139, 141)), ('heavy ion', (145, 147)), ('almost all altitudes', (151, 154)), ('the immediate vicinity', (156, 159)), ('the lower boundary', (160, 163))]"
19,S0019103512004009-5271,These collisions are much more efficient in preventing diffusive separation than collisions with neutral H.,"[('PERSON', (178, 179))]","[('These collisions', (164, 166)), ('diffusive separation', (172, 174)), ('collisions', (175, 176)), ('neutral H.', (177, 179))]"
20,S1550413113004920-1509,We recruited 147 patients from consanguineous pedigrees (parents of the proband were second cousins or more closely related) who were diagnosed with permanent diabetes before 6 months of age or were diagnosed with permanent diabetes before 9 months and had any additional clinical features that made a diagnosis of type 1 diabetes less likely.,"[('CARDINAL', (2, 3)), ('ORDINAL', (13, 14)), ('DATE', (27, 31)), ('DATE', (38, 40)), ('CARDINAL', (52, 53))]","[('We', (0, 1)), ('147 patients', (2, 4)), ('consanguineous pedigrees', (5, 7)), ('parents', (8, 9)), ('the proband', (10, 12)), ('second cousins', (13, 15)), ('who', (20, 21)), ('permanent diabetes', (24, 26)), ('6 months', (27, 29)), ('age', (30, 31)), ('permanent diabetes', (35, 37)), ('9 months', (38, 40)), ('any additional clinical features', (42, 46)), ('a diagnosis', (48, 50)), ('type 1 diabetes', (51, 54))]"
21,S1550413113004920-1509,"Informed consent was obtained from all participants or their parents, and institutional review board approval was received for this study.",[],"[('Informed consent', (57, 59)), ('all participants', (62, 64)), ('their parents', (65, 67)), ('institutional review board approval', (69, 73)), ('this study', (76, 78))]"
22,S016412121300188X-4617,The next case study uses indent  to further support the answer found for RQ4 in the acct  case study.,[],"[('The next case study', (0, 4)), ('indent', (5, 6)), ('the answer', (10, 12)), ('RQ4', (14, 15)), ('the acct  case study', (16, 21))]"
23,S016412121300188X-4617,The characteristics of indent  are very different from those of acct  as indent  has a very large dominant coherent cluster (52%) whereas acct  has multiple smaller clusters with the largest being 11%.,"[('PERCENT', (46, 48)), ('PERCENT', (60, 62))]","[('The characteristics', (22, 24)), ('indent', (25, 26)), ('indent', (36, 37)), ('a very large dominant coherent cluster', (39, 45)), ('52%', (46, 48)), ('multiple smaller clusters', (53, 56)), ('the largest being', (57, 60)), ('11%', (60, 62))]"
24,S016412121300188X-4617,We include indent  as a case study to ensure that the answer for RQ4 is derived from programs with different cluster profiles and sizes giving confidence as to the generality of the answer.,[],"[('We', (63, 64)), ('a case study', (68, 71)), ('the answer', (74, 76)), ('RQ4', (77, 78)), ('programs', (81, 82)), ('different cluster profiles', (83, 86)), ('sizes', (87, 88)), ('confidence', (89, 90)), ('the generality', (92, 94)), ('the answer', (95, 97))]"
25,S0927024813003036-2011,Minority carrier lifetime was measured using transient or quasi-steady-state photoconductance,[],"[('Minority carrier lifetime', (0, 3)), ('transient', (6, 7))]"
26,S0927024813003036-2011,"[38] methods, with a Sinton WCT-120 lifetime tester.","[('CARDINAL', (15, 16)), ('PERSON', (21, 22))]","[('[38] methods', (14, 18)), ('a Sinton WCT-120 lifetime tester', (20, 25))]"
27,S0927024813003036-2011,"The injection level range studied varied with the lifetime of the sample, but was usually in the range 1013 cm−3 to 1016 cm−3.","[('CARDINAL', (45, 46)), ('DATE', (48, 49)), ('ORG', (49, 50))]","[('The injection level range', (26, 30)), ('the lifetime', (33, 35)), ('the sample', (36, 38)), ('the range', (43, 45)), ('1013 cm−3', (45, 47)), ('1016 cm−3', (48, 50))]"
28,S0927024813003036-2011,"It is our aim to determine the absolute lifetime associated with oxygen precipitation, so care was taken to prevent or factor out well-understood recombination processes.",[],"[('It', (51, 52)), ('our aim', (53, 55)), ('the absolute lifetime', (57, 60)), ('oxygen precipitation', (62, 64)), ('care', (66, 67)), ('well-understood recombination processes', (74, 79))]"
29,S0927024813003036-2011,"Boron–oxygen defects were eliminated by storing the samples in the dark after passivation, or by performing a 10 min pre-anneal at 200 °C [39] prior to lifetime measurement.","[('PERSON', (80, 81)), ('CARDINAL', (100, 101)), ('CARDINAL', (106, 107)), ('CARDINAL', (110, 111))]","[('Boron–oxygen defects', (80, 84)), ('the samples', (88, 90)), ('the dark', (91, 93)), ('passivation', (94, 95)), ('200 °C', (106, 109)), ('lifetime measurement', (114, 116))]"
30,S0927024813003036-2011,"The samples were subjected to ∼50 close-up flashes from the lifetime tester to dissociate FeB pairs [40], after which an initial lifetime measurement was made immediately.","[('CARDINAL', (136, 137))]","[('The samples', (117, 119)), ('∼50', (122, 123)), ('close-up flashes', (123, 127)), ('the lifetime tester', (128, 131)), ('FeB pairs', (133, 135)), ('an initial lifetime measurement', (141, 145))]"
31,S0927024813003036-2011,"It is noted that the aggregated illumination time of the flashes of light used to dissociate the iron–boron pairs is very short (<20  ms), so any effect on the formation of boron–oxygen defects is kept to a minimum [39].","[('CARDINAL', (197, 198))]","[('It', (149, 150)), ('the aggregated illumination time', (153, 157)), ('the flashes', (158, 160)), ('light', (161, 162)), ('the iron', (165, 167)), ('boron pairs', (168, 170)), ('<20  ms', (174, 178)), ('any effect', (181, 183)), ('the formation', (184, 186)), ('boron', (187, 188)), ('oxygen defects', (189, 191)), ('a minimum', (194, 196))]"
32,S0927024813003036-2011,"A second lifetime measurement was made more than 24 h later, which was sufficient time to reassociate the FeB pairs [19,34,41].","[('ORDINAL', (201, 202)), ('CARDINAL', (206, 209))]","[('A second lifetime measurement', (200, 204)), ('sufficient time', (214, 216))]"
33,S0927024813003036-2011,"The two lifetime measurements are then analysed to give the concentration of iron that exists in FeB pairs using an established method [30,40,42].","[('CARDINAL', (226, 227)), ('CARDINAL', (248, 249))]","[('The two lifetime measurements', (225, 229)), ('the concentration', (234, 236)), ('iron', (237, 238)), ('FeB pairs', (241, 243)), ('an established method', (244, 247))]"
34,S0927024813003036-2011,"This concentration is henceforth referred to as the bulk iron concentration, and excludes iron present in other forms such as iron silicide precipitates, or iron bound to, or precipitated at, oxide precipitates and any surrounding defects.",[],"[('This concentration', (251, 253)), ('the bulk iron concentration', (258, 262)), ('iron present', (265, 267)), ('other forms', (268, 270)), ('iron silicide precipitates', (272, 275)), ('iron', (277, 278)), ('oxide precipitates', (285, 287)), ('any surrounding defects', (288, 291))]"
35,S0927024813003036-2011,The specific analysis approach used is described in a previous publication [19].,"[('CARDINAL', (304, 305))]","[('The specific analysis approach', (292, 296)), ('a previous publication', (300, 303))]"
36,S0927024813003036-2011,The essential feature is that SRH statistics (Eq.,"[('ORG', (312, 313)), ('PERSON', (315, 316))]","[('The essential feature', (307, 310)), ('that SRH statistics', (311, 314)), ('Eq', (315, 316))]"
37,S0927024813003036-2011,(1)) are used with the recombination parameters of Rein and Glunz [30] to determine the bulk iron concentration required to account for a lifetime change at a given injection level.,"[('PERSON', (328, 329)), ('CARDINAL', (332, 333))]","[('the recombination parameters', (324, 327)), ('Rein', (328, 329)), ('Glunz', (330, 331)), ('the bulk iron concentration', (336, 340)), ('a lifetime change', (344, 347)), ('a given injection level', (348, 352))]"
38,S0927024813003036-2011,"For the results presented in this paper, the injection level used was 0.2p0.","[('DATE', (366, 367))]","[('the results', (354, 356)), ('this paper', (358, 360)), ('the injection level', (361, 364))]"
39,S0927024813003036-2011,The bulk iron concentrations in the “uncontaminated” samples were always ≤1.5×1012 cm−3.,"[('ORG', (381, 382))]","[('The bulk iron concentrations', (368, 372)), ('the “uncontaminated” samples', (373, 378)), ('≤1.5×1012 cm−3', (380, 382))]"
40,S2211124712002884-1060,"This study was approved by the Institutional Review Board and Ethics Committees of the University of California, San Francisco, and written informed consent was obtained in all cases.","[('ORG', (5, 9)), ('ORG', (13, 17)), ('GPE', (18, 20))]","[('This study', (0, 2)), ('the Institutional Review Board', (5, 9)), ('Ethics Committees', (10, 12)), ('the University', (13, 15)), ('California', (16, 17)), ('San Francisco', (18, 20)), ('written informed consent', (22, 25)), ('all cases', (28, 30))]"
41,S2211124712002884-1060,"The patient with the PGRN S116X mutation followed the classic clinical progression for FTD and developed parkinsonism, as do all FTD patients with PGRN mutations, but he did not show typical features of PD dementia.","[('ORG', (35, 36)), ('ORG', (44, 45)), ('ORG', (52, 53)), ('ORG', (55, 56)), ('LOC', (66, 67))]","[('The patient', (31, 33)), ('the PGRN S116X mutation', (34, 38)), ('the classic clinical progression', (39, 43)), ('FTD', (44, 45)), ('developed parkinsonism', (46, 48)), ('all FTD patients', (51, 54)), ('PGRN mutations', (55, 57)), ('he', (59, 60)), ('typical features', (63, 65)), ('PD dementia', (66, 68))]"
42,S2211124712002884-1060,The patient with sporadic FTD also showed parkinsonism.,"[('ORG', (73, 74))]","[('The patient', (69, 71)), ('sporadic FTD', (72, 74)), ('parkinsonism', (76, 77))]"
43,S2211124712002884-1060,"Skin biopsies were collected, cut into small pieces, and placed on culture dishes to allow the fibroblasts to expand.",[],"[('Skin biopsies', (78, 80)), ('small pieces', (85, 87)), ('culture dishes', (91, 93)), ('the fibroblasts', (95, 97))]"
44,S2211124712002884-1060,"The cells were maintained in Dulbecco's modified Eagle's medium supplemented with 10% fetal bovine serum, 1X nonessential amino acids, and penicillin/streptomycin (100 U/ml).","[('ORG', (108, 109)), ('PERCENT', (113, 115)), ('CARDINAL', (119, 120)), ('CARDINAL', (129, 130))]","[('The cells', (100, 102)), (""Dulbecco's modified Eagle's medium"", (105, 111)), ('10% fetal bovine serum', (113, 118)), ('1X nonessential amino acids', (119, 123)), ('penicillin/streptomycin', (125, 128)), ('100 U', (129, 131)), ('ml', (132, 133))]"
45,S2211124712002884-1060,"iPSCs were generated as described previously (Takahashi et al., 2007).","[('PERSON', (142, 143)), ('DATE', (147, 148))]","[('iPSCs', (135, 136))]"
46,S2211124712002884-1060,Please see Supplemental Information for more details.,[],"[('Supplemental Information', (152, 154)), ('more details', (155, 157))]"
47,S0006322312001096-1202,"Second, at phases 7 and 9, depressive symptoms were also assessed using the Center for Epidemiologic Studies Depression Scale (CES-D) (note that CES-D was not included in earlier screening phases of our study) (29).","[('ORDINAL', (0, 1)), ('CARDINAL', (4, 5)), ('CARDINAL', (6, 7)), ('ORG', (14, 21)), ('CARDINAL', (44, 45))]","[('phases', (3, 4)), ('depressive symptoms', (8, 10)), ('the Center', (14, 16)), ('Epidemiologic Studies', (17, 19)), ('Depression Scale', (19, 21)), ('CES', (22, 23)), ('-D', (23, 25)), ('CES-D', (29, 32)), ('phases', (38, 39)), ('our study', (40, 42))]"
48,S0006322312001096-1202,"The 20 items of the CES-D measure symptoms associated with depression; participants are asked to score the frequency of occurrence of specific symptoms during the previous week on a four point scale (0 = less than one day, 1 = 1–2 days, 2 = 3–4 days, and 3 = 5–7 days).","[('CARDINAL', (48, 49)), ('DATE', (74, 77)), ('CARDINAL', (79, 80)), ('CARDINAL', (83, 84)), ('CARDINAL', (90, 91)), ('CARDINAL', (95, 96)), ('DATE', (97, 99)), ('CARDINAL', (101, 102))]","[('The 20 items', (47, 50)), ('the CES-D measure symptoms', (51, 57)), ('depression', (59, 60)), ('participants', (61, 62)), ('the frequency', (66, 68)), ('occurrence', (69, 70)), ('specific symptoms', (71, 73)), ('the previous week', (74, 77)), ('a four point scale', (78, 82)), ('1 = 1–2 days', (90, 94)), ('2 = 3–4 days', (95, 99)), ('3 = 5–7 days', (101, 105))]"
49,S0006322312001096-1202,"These items are summed to yield a total score between 0 and 60, with participants scoring ≥16 defined as having CES-D depressive symptoms (30).","[('CARDINAL', (116, 120)), ('ORG', (124, 125)), ('CARDINAL', (134, 135))]","[('These items', (107, 109)), ('a total score', (113, 116)), ('participants', (122, 123)), ('≥16', (124, 125)), ('CES-D depressive symptoms', (128, 133))]"
50,S0006322312001096-1202,"In a validation study of 274 Whitehall II participants, sensitivity and specificity were 89% and 86%, respectively, for CES-D depressive symptoms using a structured psychiatric interview as the criterion.","[('CARDINAL', (142, 143)), ('PERCENT', (151, 153)), ('PERCENT', (154, 156))]","[('a validation study', (138, 141)), ('274 Whitehall II participants', (142, 146)), ('sensitivity', (147, 148)), ('specificity', (149, 150)), ('89%', (151, 153)), ('86%', (154, 156)), ('CES-D depressive symptoms', (160, 165)), ('a structured psychiatric interview', (166, 170)), ('the criterion', (171, 173))]"
51,S1386142513006823-2084,The complexes have different varieties of geometrical structures.,[],"[('The complexes', (0, 2)), ('different varieties', (3, 5)), ('geometrical structures', (6, 8))]"
52,S0006322312001096-1194,"The validity of the Framingham risk scores as measures of vascular risk was supported in our study, as they strongly predicted incidence of subsequent (manifest) vascular disease.","[('GPE', (4, 5))]","[('The validity', (0, 2)), ('the Framingham risk scores', (3, 7)), ('measures', (8, 9)), ('vascular risk', (10, 12)), ('our study', (15, 17)), ('they', (19, 20)), ('incidence', (22, 23)), ('subsequent (manifest) vascular disease', (24, 30))]"
53,S0006322312001096-1194,Age- and sex-adjusted odds ratio for 10% increment in risk was 2.84 (95% confidence interval [CI] 1.66–4.88) for the stroke risk score-incident stroke association and 2.25 (95% CI 1.92–2.65) for the CHD risk score-incident CHD association.,"[('PERCENT', (39, 41)), ('CARDINAL', (45, 46)), ('PERCENT', (47, 49)), ('CARDINAL', (66, 67)), ('PERCENT', (68, 70)), ('CARDINAL', (71, 72)), ('ORG', (75, 76)), ('ORG', (80, 81))]","[('Age-', (31, 32)), ('sex-adjusted odds ratio', (33, 38)), ('10% increment', (39, 42)), ('risk', (43, 44)), ('2.84 (95% confidence interval', (45, 51)), ('CI', (52, 53)), ('the stroke risk score-incident stroke association', (57, 65)), ('95%', (68, 70)), ('CI', (70, 71)), ('the CHD risk score-incident CHD association', (74, 82))]"
54,S0006322312001096-1194,"The corresponding odds ratios for the associations of CVD risk score with stroke and CHD were 1.34 (95% CI 1.11–1.62) and 2.14 (95% CI 1.85–2.48), respectively.","[('ORG', (91, 92)), ('ORG', (97, 98)), ('CARDINAL', (99, 100)), ('PERCENT', (101, 103)), ('CARDINAL', (107, 108)), ('PERCENT', (109, 111)), ('CARDINAL', (112, 113))]","[('The corresponding odds ratios', (83, 87)), ('the associations', (88, 90)), ('CVD risk score', (91, 94)), ('stroke', (95, 96)), ('CHD', (97, 98)), ('1.34 (95%', (99, 103)), ('(95%', (108, 111)), ('CI', (111, 112))]"
55,S0167610513002729-1062,"At x=0.64 H (about two-third of the way into the street, Fig.","[('CARDINAL', (4, 8)), ('PERSON', (15, 16))]","[('x=0.64 H', (1, 3)), ('(about two-third', (3, 8)), ('the way', (9, 11)), ('the street', (12, 14)), ('Fig', (15, 16))]"
56,S0167610513002729-1062,"6d), a similar picture applies, but the core of the vortex is further up and there is now a strong flow in the lower part of the canyon towards the lee of the building.","[('CARDINAL', (17, 18))]","[('a similar picture', (20, 23)), ('the core', (26, 28)), ('the vortex', (29, 31)), ('a strong flow', (38, 41)), ('the lower part', (42, 45)), ('the canyon', (46, 48)), ('the lee', (49, 51)), ('the building', (52, 54))]"
57,S0167610513002729-1062,"This would cause any material in the street canyon (which, for example, might have come from advection along the street from upstream) to be driven into the recirculation region.",[],"[('any material', (58, 60)), ('the street canyon', (61, 64)), ('example', (68, 69)), ('advection', (74, 75)), ('the street', (76, 78)), ('the recirculation region', (85, 88))]"
58,S0032063313003218-6651,"We interpret our FAC density profiles by considering the corresponding precipitating electron energy fluxes, as shown in Fig. 6(b).","[('ORG', (3, 4)), ('PERSON', (18, 19))]","[('We', (0, 1)), ('our FAC density profiles', (2, 6)), ('the corresponding precipitating electron energy fluxes', (8, 14)), ('Fig', (18, 19))]"
59,S0032063313003218-6651,Fluxes are plotted as functions of latitude.,[],"[('Fluxes', (23, 24)), ('functions', (27, 28)), ('latitude', (29, 30))]"
60,S0032063313003218-6651,"The line style code and labels are the same as in Fig. 6(a), the latitudinal size of a HST ACS-SBC pixel is indicated by the dark grey rectangle and the grey solid line indicates the limit of present HST detectability (~1kR;","[('PERSON', (42, 43)), ('CARDINAL', (44, 45))]","[('The line style code', (31, 35)), ('labels', (36, 37)), ('Fig', (42, 43)), ('the latitudinal size', (47, 50)), ('a HST ACS-SBC pixel', (51, 57)), ('the dark grey rectangle', (60, 64)), ('the grey solid line', (65, 69)), ('the limit', (70, 72)), ('present HST detectability', (73, 76)), ('~1kR', (77, 78))]"
61,S0032063313003218-6651,"Cowley et al., 2007).","[('DATE', (84, 85))]","[('Cowley et al', (79, 82))]"
62,S0032063313003218-6651,"We begin by comparing profiles for case ES with EF, which are almost identical and both have maxima at ~74° latitude, equivalent to the location of the ‘main auroral oval’, and at ~80°, the boundary between open (region I) and closed field lines (region II).","[('ORG', (94, 95)), ('GPE', (96, 97))]","[('We', (87, 88)), ('profiles', (91, 92)), ('case ES', (93, 95)), ('EF', (96, 97)), ('maxima', (105, 106)), ('~74°', (107, 109)), ('latitude', (109, 110)), ('the location', (113, 115)), ('the ‘main auroral oval', (116, 121)), ('~80°', (125, 127)), ('open (region I', (131, 135)), ('closed field lines', (137, 140)), ('region II', (141, 143))]"
63,S0032063313003218-6651,"Therefore, we would expect a fairly bright auroral oval of ~88kR for case ES and ~79kR for case EF.","[('ORG', (159, 160)), ('GPE', (164, 165))]","[('we', (147, 148)), ('a fairly bright auroral oval', (150, 155)), ('~88kR', (156, 157)), ('case ES', (158, 160)), ('case EF', (163, 165))]"
64,S0032063313003218-6651,The electron energy flux for case EF (~7.85mWm−2) is ~10% smaller than case ES (~8.8mWm−2) due to ΩT(ES)>ΩT(EF) leading to a smaller flow shear.,"[('GPE', (172, 173)), ('ORG', (182, 183))]","[('The electron energy flux', (166, 170)), ('case EF', (171, 173)), ('~7.85mWm−2', (174, 175)), ('~10', (177, 178)), ('case ES', (181, 183)), ('(~8.8mWm−2', (183, 185)), ('ΩT(ES)>ΩT(EF', (188, 189)), ('a smaller flow shear', (192, 196))]"
65,S0032063313003218-6651,Our model also predicts the possibility of observable polar emission (region II/I boundary) of ~15kR for both cases ES and EF.,"[('ORG', (219, 220)), ('GPE', (221, 222))]","[('Our model', (197, 199)), ('the possibility', (201, 203)), ('observable polar emission', (204, 207)), ('region II', (208, 210)), ('I', (211, 212)), ('both cases', (217, 219)), ('EF', (221, 222))]"
66,S0032063313003218-6651,"However, this region is strongly dependent on the plasma flow model used and poorly constrained by observations.",[],"[('this region', (225, 227)), ('the plasma flow model', (231, 235)), ('observations', (240, 241))]"
67,S0925443913001385-1429,Human skin fibroblasts were cultured in DMEM medium,[],"[('Human skin fibroblasts', (0, 3)), ('DMEM', (6, 7))]"
68,S0925443913001385-1429,"(Dulbecco's modified Eagle's medium, Gibco) supplemented with 10% (v/v) fetal calf serum (FCS), 2 mM l-glutamine, 50 μg/ml uridine, 110 μg/ml pyruvate, 10,000 U/ml penicillin G and 10,000 μg/ml streptomycin.","[('ORG', (12, 13)), ('PERCENT', (20, 22)), ('CARDINAL', (40, 41)), ('CARDINAL', (46, 47)), ('CARDINAL', (52, 53)), ('CARDINAL', (59, 60))]","[(""Dulbecco's modified Eagle's medium"", (9, 15)), (', Gibco', (15, 17)), ('10%', (20, 22)), ('v/v', (23, 26)), ('fetal calf serum', (27, 30)), ('FCS', (31, 32)), ('2 mM l-glutamine', (34, 39)), ('110 μg/ml', (46, 50)), ('10,000 U/ml penicillin G', (52, 58)), ('ml', (62, 63))]"
69,S0038071712001010-1044,"Despite the lack of correlation between aggregate stability and AMF, rapid growth of G. mosseae hyphae suggested by Jansa et al.","[('ORG', (9, 10)), ('ORG', (14, 15)), ('PERSON', (19, 22))]","[('the lack', (1, 3)), ('correlation', (4, 5)), ('aggregate stability', (6, 8)), ('AMF', (9, 10)), ('rapid growth', (11, 13)), ('G. mosseae hyphae', (14, 17)), ('Jansa et al', (19, 22))]"
70,S0038071712001010-1044,(2008) might be expected to result in alterations in soil structure relative to hyphae of other slower growing species.,[],"[('alterations', (32, 33)), ('soil structure', (34, 36)), ('hyphae', (38, 39)), ('other slower growing species', (40, 44))]"
71,S0038071712001010-1044,Work by Giovannetti et al.,"[('PERSON', (47, 48))]","[('Work', (45, 46)), ('Giovannetti et al', (47, 50))]"
72,S0038071712001010-1044,"(2001, 2004) demonstrated that AMF hyphae frequently anastamose and could result in a large network of interconnecting hyphae.","[('DATE', (52, 55))]","[('AMF', (58, 59)), ('a large network', (66, 69)), ('hyphae', (71, 72))]"
73,S0038071712001010-1044,"Within the current experiment, colonisation by G. mosseae resulted in a higher proportion of small soil pores to large ones and reduced distances between neighbouring pores.",[],"[('the current experiment', (74, 77)), ('colonisation', (78, 79)), ('G. mosseae', (80, 82)), ('a higher proportion', (84, 87)), ('small soil', (88, 90)), ('large ones', (92, 94)), ('neighbouring pores', (98, 100))]"
74,S0038071712001010-1044,"A soil with a greater proportion of small pores (∼0.4 mm2) will retain water more effectively than a soil with larger pores; furthermore, small pores act as nutrient-rich habitats for soil microflora (Nunan et al., 2001).","[('PERSON', (111, 112)), ('DATE', (145, 146))]","[('A soil', (101, 103)), ('a greater proportion', (104, 107)), ('small pores', (108, 110)), ('∼0.4 mm2', (111, 113)), ('water', (116, 117)), ('a soil', (120, 122)), ('larger pores', (123, 125)), (', small pores', (127, 130)), ('nutrient-rich habitats', (132, 136)), ('soil microflora', (137, 139)), ('Nunan et al', (140, 143))]"
