,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
2,S2213671113000738-485,1,Qualifier,90,110,T4-1,after the transplant,"{""Qualifies"": ""T1-1""}"
0,S0378383912000130-3662,1,Quantity,45,51,T1-1,8.5 mm,"{""unit"": ""mm""}"
1,S0378383912000130-3662,1,MeasuredEntity,52,57,T2-1,beach,"{""HasQuantity"": ""T1-1""}"
2,S0378383912000130-3662,2,Quantity,136,142,T1-2,1.5 mm,"{""unit"": ""mm""}"
3,S0378383912000130-3662,2,MeasuredEntity,143,148,T2-2,beach,"{""HasQuantity"": ""T1-2""}"
4,S0378383912000130-3662,3,Quantity,375,381,T1-3,1.5 mm,"{""unit"": ""mm""}"
5,S0378383912000130-3662,3,MeasuredEntity,382,387,T2-3,beach,"{""HasQuantity"": ""T1-3""}"
0,S0019103512001388-1070,1,Quantity,40,58,T1-1,6 November 2011 UT,"{""unit"": ""UT""}"
1,S0019103512001388-1070,1,MeasuredProperty,31,36,T4-1,taken,"{""HasQuantity"": ""T1-1""}"
2,S0019103512001388-1070,1,MeasuredEntity,0,30,T3-1,H-band slit-viewing VLT images,"{""HasProperty"": ""T4-1""}"
3,S0019103512001388-1070,2,Quantity,65,73,T1-2,two days,"{""unit"": ""days""}"
4,S0019103512001388-1070,2,MeasuredProperty,31,36,T5-2,taken,"{""HasQuantity"": ""T1-2""}"
5,S0019103512001388-1070,2,MeasuredEntity,0,30,T4-2,H-band slit-viewing VLT images,"{""HasProperty"": ""T5-2""}"
6,S0019103512001388-1070,2,Qualifier,74,114,T2-2,before the close approach of BS1 and BS2,"{""Qualifies"": ""T1-2""}"
7,S0019103512001388-1070,3,Quantity,596,602,T1-3,30 min,"{""mods"": [""IsRange""], ""unit"": ""min""}"
8,S0019103512001388-1070,3,MeasuredProperty,549,589,T3-3,should have crossed the central meridian,"{""HasQuantity"": ""T1-3""}"
9,S0019103512001388-1070,3,MeasuredEntity,523,541,T2-3,deeper BS2 feature,"{""HasProperty"": ""T3-3""}"
10,S0019103512001388-1070,3,Qualifier,603,612,T4-3,after BS1,"{""Qualifies"": ""T1-3""}"
0,S0006322312001096-1271,1,Quantity,783,807,T1-1,274 elderly participants,"{""unit"": ""elderly participants""}"
1,S0006322312001096-1271,1,MeasuredEntity,763,779,T3-1,validation study,"{""HasQuantity"": ""T1-1""}"
2,S0006322312001096-1271,2,Quantity,978,988,T21-2,almost 90%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
3,S0006322312001096-1271,2,MeasuredProperty,825,852,T31-2,sensitivity and specificity,"{""HasQuantity"": ""T21-2""}"
4,S0006322312001096-1271,2,MeasuredEntity,856,882,T41-2,the questionnaire measures,"{""HasProperty"": ""T31-2""}"
5,S0006322312001096-1271,2,Qualifier,989,1018,T51-2,for CES-D depressive symptoms,"{""Qualifies"": ""T31-2""}"
6,S0006322312001096-1271,3,Quantity,1023,1040,T12-3,approximately 80%,"{""mods"": [""IsApproximate""], ""unit"": ""%""}"
7,S0006322312001096-1271,3,MeasuredProperty,825,852,T32-3,sensitivity and specificity,"{""HasQuantity"": ""T12-3""}"
8,S0006322312001096-1271,3,MeasuredEntity,856,882,T42-3,the questionnaire measures,"{""HasProperty"": ""T32-3""}"
9,S0006322312001096-1271,3,Qualifier,1041,1057,T62-3,for GHQ symptoms,"{""Qualifies"": ""T32-3""}"
0,S0927775713009606-1361,1,Quantity,77,85,T1-1,0.097 nm,"{""unit"": ""nm""}"
1,S0927775713009606-1361,1,MeasuredProperty,61,73,T4-1,ionic radius,"{""HasQuantity"": ""T1-1""}"
2,S0927775713009606-1361,1,MeasuredEntity,33,53,T3-1,divalent cation Cd2+,"{""HasProperty"": ""T4-1""}"
3,S0927775713009606-1361,2,Quantity,246,260,T1-2,ca. 0.4–1.0 nm,"{""mods"": [""IsApproximate""], ""unit"": ""nm""}"
4,S0927775713009606-1361,2,MeasuredProperty,190,205,T3-2,internal cavity,"{""HasQuantity"": ""T1-2""}"
5,S0927775713009606-1361,2,MeasuredEntity,213,226,T4-2,amylose helix,"{""HasProperty"": ""T3-2""}"
6,S0927775713009606-1361,2,Qualifier,228,244,T5-2,double or single,"{""Qualifies"": ""T4-2""}"
7,S0927775713009606-1361,3,Quantity,532,544,T1-3,0.19–0.21 nm,"{""mods"": [""IsRange""], ""unit"": ""nm""}"
8,S0927775713009606-1361,3,MeasuredProperty,516,525,T4-3,distances,"{""HasQuantity"": ""T1-3""}"
9,S0927775713009606-1361,3,MeasuredEntity,506,515,T3-3,H-bonding,"{""HasProperty"": ""T4-3""}"
0,S0921818113002245-859,1,Quantity,173,191,T1-1,approximately 19 m,"{""mods"": [""IsApproximate""], ""unit"": ""m""}"
1,S0921818113002245-859,1,MeasuredProperty,156,169,T3-1,deepest point,"{""HasQuantity"": ""T1-1""}"
2,S0921818113002245-859,1,MeasuredEntity,150,155,T2-1,lakes,"{""HasProperty"": ""T3-1""}"
0,S0038071712001010-1044,1,Quantity,626,634,T1-1,∼0.4 mm2,"{""mods"": [""IsApproximate""], ""unit"": ""mm2""}"
1,S0038071712001010-1044,1,MeasuredEntity,613,624,T2-1,small pores,"{""HasQuantity"": ""T1-1""}"
2,S0038071712001010-1044,2,Quantity,2609,2616,T1-2,84 days,"{""unit"": ""days""}"
3,S0038071712001010-1044,2,MeasuredProperty,2598,2604,T3-2,lasted,"{""HasQuantity"": ""T1-2""}"
4,S0038071712001010-1044,2,MeasuredEntity,2587,2597,T2-2,experiment,"{""HasProperty"": ""T3-2""}"
0,S1873506114000075-1132,1,Quantity,55,59,T1-1,48 h,"{""unit"": ""h""}"
1,S1873506114000075-1132,1,MeasuredProperty,31,38,T4-1,changed,"{""HasQuantity"": ""T1-1""}"
2,S1873506114000075-1132,1,MeasuredEntity,4,26,T3-1,differentiation medium,"{""HasProperty"": ""T4-1""}"
3,S1873506114000075-1132,1,Qualifier,60,76,T5-1,before the assay,"{""Qualifies"": ""T1-1""}"
0,S2211124712002884-1110,1,Quantity,107,115,T1-1,5–6 days,"{""mods"": [""IsRange""], ""unit"": ""days""}"
1,S2211124712002884-1110,1,MeasuredProperty,58,102,T3-1,grown as embryoid bodies (EBs) in suspension,"{""HasQuantity"": ""T1-1""}"
2,S2211124712002884-1110,1,MeasuredEntity,0,13,T2-1,iPSC colonies,"{""HasProperty"": ""T3-1""}"
3,S2211124712002884-1110,1,Qualifier,116,169,T5-1,in iPSC medium without basic fibroblast growth factor,"{""Qualifies"": ""T3-1""}"
4,S2211124712002884-1110,2,Quantity,217,224,T1-2,Ten-day,"{""unit"": ""day""}"
5,S2211124712002884-1110,2,MeasuredProperty,225,228,T2-2,old,"{""HasQuantity"": ""T1-2""}"
6,S2211124712002884-1110,2,MeasuredEntity,229,237,T3-2,rosettes,"{""HasProperty"": ""T2-2""}"
7,S2211124712002884-1110,3,Quantity,324,339,T1-3,after 3–4 weeks,"{""mods"": [""IsRange""], ""unit"": ""weeks""}"
8,S2211124712002884-1110,3,MeasuredProperty,312,323,T3-3,dissociated,"{""HasQuantity"": ""T1-3""}"
9,S2211124712002884-1110,3,MeasuredEntity,294,306,T2-3,Neurospheres,"{""HasProperty"": ""T3-3""}"
10,S2211124712002884-1110,4,Quantity,441,450,T1-4,0.1 mg/ml,"{""unit"": ""mg/ml""}"
11,S2211124712002884-1110,4,MeasuredEntity,426,439,T2-4,poly-D-lysine,"{""HasQuantity"": ""T1-4""}"
12,S2211124712002884-1110,5,Quantity,465,472,T1-5,10 μg/m,"{""unit"": ""μg/m""}"
13,S2211124712002884-1110,5,MeasuredEntity,456,463,T2-5,laminin,"{""HasQuantity"": ""T1-5""}"
14,S2211124712002884-1110,6,Quantity,493,508,T1-6,after 2-4 weeks,"{""mods"": [""IsRange""], ""unit"": ""weeks""}"
15,S2211124712002884-1110,6,MeasuredProperty,488,492,T3-6,used,"{""HasQuantity"": ""T1-6""}"
16,S2211124712002884-1110,6,MeasuredEntity,475,482,T2-6,Neurons,"{""HasProperty"": ""T3-6""}"
17,S2211124712002884-1110,6,Qualifier,512,519,T5-6,culture,"{""Qualifies"": ""T1-6""}"
0,S0378383912000130-3827,1,Quantity,19,25,T1-1,1.5 mm,"{""unit"": ""mm""}"
1,S0378383912000130-3827,1,MeasuredEntity,26,31,T3-1,beach,"{""HasQuantity"": ""T1-1""}"
2,S0378383912000130-3827,2,Quantity,44,50,T1-2,8.5 mm,"{""unit"": ""mm""}"
3,S0378383912000130-3827,2,MeasuredEntity,51,56,T3-2,beach,"{""HasQuantity"": ""T1-2""}"
4,S0378383912000130-3827,3,Quantity,255,261,T1-3,8.5 mm,"{""unit"": ""mm""}"
5,S0378383912000130-3827,3,MeasuredEntity,262,267,T3-3,beach,"{""HasQuantity"": ""T1-3""}"
0,S0927775713009606-1216,1,Quantity,119,139,T1-1,range from 5° to 85°,"{""mods"": [""IsRange""], ""unit"": ""°""}"
1,S0927775713009606-1216,1,MeasuredEntity,116,118,T4-1,2θ,"{""HasQuantity"": ""T1-1""}"
2,S0927775713009606-1216,2,Quantity,162,166,T1-2,0.1°,"{""unit"": ""°""}"
3,S0927775713009606-1216,2,MeasuredProperty,149,158,T2-2,step size,"{""HasQuantity"": ""T1-2""}"
4,S0927775713009606-1216,2,MeasuredEntity,68,82,T3-2,diffractometer,"{""HasProperty"": ""T2-2""}"
5,S0927775713009606-1216,3,Quantity,199,202,T1-3,4 s,"{""unit"": ""s""}"
6,S0927775713009606-1216,3,MeasuredProperty,173,186,T2-3,counting time,"{""HasQuantity"": ""T1-3""}"
7,S0927775713009606-1216,3,MeasuredEntity,191,195,T3-3,step,"{""HasProperty"": ""T2-3""}"
8,S0927775713009606-1216,4,Quantity,383,386,T1-4,0.9,
9,S0927775713009606-1216,4,MeasuredProperty,379,380,T2-4,K,"{""HasQuantity"": ""T1-4""}"
10,S0927775713009606-1216,4,MeasuredEntity,247,264,T3-4,Scherrer equation,"{""HasProperty"": ""T2-4""}"
0,S0032386113009889-2123,1,Quantity,1001,1013,T1-1,about 70 MPa,"{""mods"": [""IsApproximate""], ""unit"": ""MPa""}"
1,S0032386113009889-2123,1,MeasuredProperty,974,997,T2-1,applied uniaxial stress,"{""HasQuantity"": ""T1-1""}"
2,S0032386113009889-2123,1,MeasuredEntity,946,955,T3-1,debonding,"{""HasProperty"": ""T2-1""}"
3,S0032386113009889-2123,2,Quantity,1073,1086,T1-2,about 210 MPa,"{""mods"": [""IsApproximate""], ""unit"": ""MPa""}"
4,S0032386113009889-2123,2,MeasuredProperty,1034,1052,T2-2,hydrostatic stress,"{""HasQuantity"": ""T1-2""}"
5,S0032386113009889-2123,2,MeasuredEntity,946,955,T3-2,debonding,"{""HasProperty"": ""T2-2""}"
6,S0032386113009889-2123,2,Qualifier,1060,1069,T5-2,crack tip,"{""Qualifies"": ""T2-2""}"
7,S0032386113009889-2123,3,Quantity,1185,1192,T1-3,210 MPa,"{""unit"": ""MPa""}"
8,S0032386113009889-2123,3,MeasuredProperty,1155,1181,T2-3,applied hydrostatic stress,"{""HasQuantity"": ""T1-3""}"
9,S0032386113009889-2123,3,MeasuredEntity,1098,1133,T4-3,finite-element analysis simulations,"{""HasProperty"": ""T2-3""}"
0,S0927775713009606-1074,1,Quantity,849,856,T1-1,> 10 nm,"{""mods"": [""IsRange""], ""unit"": ""nm""}"
1,S0927775713009606-1074,1,MeasuredProperty,834,848,T3-1,pore diameters,"{""HasQuantity"": ""T1-1""}"
2,S0927775713009606-1074,1,MeasuredEntity,798,814,T4-1,mesopore domains,"{""HasProperty"": ""T3-1""}"
3,S0927775713009606-1074,2,Quantity,864,877,T1-2,> 0.5 cm3 g−1,"{""mods"": [""IsRange""], ""unit"": ""cm3 g−1""}"
4,S0927775713009606-1074,2,MeasuredProperty,858,863,T3-2,Vmeso,"{""HasQuantity"": ""T1-2""}"
5,S0927775713009606-1074,2,MeasuredEntity,798,814,T4-2,mesopore domains,"{""HasProperty"": ""T3-2""}"
6,S0927775713009606-1074,3,Quantity,903,915,T1-3,> 170 m2 g−1,"{""mods"": [""IsRange""], ""unit"": ""m2 g−1""}"
7,S0927775713009606-1074,3,MeasuredProperty,898,902,T3-3,SBET,"{""HasQuantity"": ""T1-3""}"
8,S0927775713009606-1074,3,MeasuredEntity,798,814,T4-3,mesopore domains,"{""HasProperty"": ""T3-3""}"
9,S0927775713009606-1074,4,Quantity,1033,1046,T1-4,5–40 nm range,"{""mods"": [""IsRange""], ""unit"": ""nm""}"
10,S0927775713009606-1074,4,MeasuredProperty,1012,1025,T4-4,characterised,"{""HasQuantity"": ""T1-4""}"
11,S0927775713009606-1074,4,MeasuredEntity,977,1006,T3-4,synthesised CdS nanoparticles,"{""HasProperty"": ""T4-4""}"
12,S0927775713009606-1074,5,Quantity,1201,1208,T1-5,1 (w/w),"{""unit"": ""w/w""}"
13,S0927775713009606-1074,5,MeasuredProperty,1193,1198,T3-5,ratio,"{""HasQuantity"": ""T1-5""}"
14,S0927775713009606-1074,5,MeasuredEntity,1182,1192,T2-5,CdS/starch,"{""HasProperty"": ""T3-5""}"
0,S0167880913001229-1033,1,Quantity,48,55,T1-1,0–10 cm,"{""unit"": ""cm""}"
0,S1750583613004192-714,1,Quantity,55,70,T1-1,circa July 2002,"{""mods"": [""IsApproximate""]}"
1,S1750583613004192-714,1,MeasuredEntity,4,26,T2-1,Sleipner plume profile,"{""HasQuantity"": ""T1-1""}"
2,S1750583613004192-714,2,Quantity,128,132,T1-2,5 Mt,"{""unit"": ""Mt""}"
3,S1750583613004192-714,2,MeasuredProperty,136,144,T4-2,injected,"{""HasQuantity"": ""T1-2""}"
4,S1750583613004192-714,2,MeasuredEntity,145,148,T3-2,CO2,"{""HasProperty"": ""T4-2""}"
5,S1750583613004192-714,3,Quantity,176,180,T1-3,nine,"{""mods"": [""IsCount""]}"
6,S1750583613004192-714,3,MeasuredEntity,181,193,T2-3,plume layers,"{""HasQuantity"": ""T1-3""}"
7,S1750583613004192-714,4,Quantity,379,383,T1-4,1999,
8,S1750583613004192-714,4,MeasuredProperty,361,375,T3-4,first appeared,"{""HasQuantity"": ""T1-4""}"
9,S1750583613004192-714,4,MeasuredEntity,349,360,T2-4,ninth layer,"{""HasProperty"": ""T3-4""}"
10,S1750583613004192-714,5,Quantity,422,441,T1-5,approximately 220 m,"{""mods"": [""IsApproximate""], ""unit"": ""m""}"
11,S1750583613004192-714,5,MeasuredProperty,413,421,T3-5,migrated,"{""HasQuantity"": ""T1-5""}"
12,S1750583613004192-714,5,MeasuredEntity,405,408,T2-5,CO2,"{""HasProperty"": ""T3-5""}"
13,S1750583613004192-714,5,Qualifier,442,482,T4-5,vertically from the injection point (IP),"{""Qualifies"": ""T3-5""}"
14,S1750583613004192-714,6,Quantity,486,495,T1-6,1012 mbsl,"{""unit"": ""mbsl""}"
15,S1750583613004192-714,6,MeasuredEntity,462,482,T3-6,injection point (IP),"{""HasQuantity"": ""T1-6""}"
16,S1750583613004192-714,7,Quantity,499,506,T1-7,3 years,"{""unit"": ""years""}"
17,S1750583613004192-714,7,MeasuredProperty,413,421,T3-7,migrated,"{""HasQuantity"": ""T1-7""}"
18,S1750583613004192-714,7,MeasuredEntity,405,408,T2-7,CO2,"{""HasProperty"": ""T3-7""}"
0,S0927024813002961-1051,1,Quantity,799,803,T1-1,five,"{""mods"": [""IsCount""]}"
1,S0927024813002961-1051,1,MeasuredEntity,804,821,T2-1,main contributors,"{""HasQuantity"": ""T1-1""}"
2,S0927024813002961-1051,2,Quantity,967,970,T1-2,two,"{""mods"": [""IsCount""]}"
3,S0927024813002961-1051,2,MeasuredEntity,971,978,T2-2,effects,"{""HasQuantity"": ""T1-2""}"
4,S0927024813002961-1051,3,Quantity,1210,1214,T1-3,2–7%,"{""unit"": ""%""}"
5,S0927024813002961-1051,3,MeasuredEntity,1161,1183,T2-3,performance variations,"{""HasQuantity"": ""T1-3""}"
6,S0927024813002961-1051,4,Quantity,1457,1472,T1-4,range of 10–15%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
7,S0927024813002961-1051,4,MeasuredEntity,1161,1183,T3-4,performance variations,"{""HasQuantity"": ""T1-4""}"
8,S0927024813002961-1051,5,Quantity,1626,1635,T1-5,up to 25%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
9,S0927024813002961-1051,5,MeasuredProperty,1636,1645,T3-5,variation,"{""HasQuantity"": ""T1-5""}"
10,S0927024813002961-1051,5,MeasuredEntity,1654,1671,T5-5,different devices,"{""HasProperty"": ""T3-5""}"
11,S0927024813002961-1051,5,Qualifier,1612,1625,T2-5,ageing causes,"{""Qualifies"": ""T5-5""}"
0,S0012821X12004384-1265,1,Quantity,11,13,T1-1,71,"{""mods"": [""IsCount""]}"
1,S0012821X12004384-1265,1,MeasuredEntity,14,32,T2-1,palynology samples,"{""HasQuantity"": ""T1-1""}"
2,S0012821X12004384-1265,2,Quantity,512,519,T1-2,1/100th,
3,S0012821X12004384-1265,2,MeasuredProperty,483,506,T3-2,Each slide was produced,"{""HasQuantity"": ""T1-2""}"
4,S0012821X12004384-1265,2,MeasuredEntity,527,551,T2-2,total material processed,"{""HasProperty"": ""T3-2""}"
5,S0012821X12004384-1265,3,Quantity,594,597,T11-3,5 g,"{""unit"": ""g""}"
6,S0012821X12004384-1265,3,MeasuredProperty,563,577,T81-3,initial weight,"{""HasQuantity"": ""T11-3""}"
7,S0012821X12004384-1265,3,MeasuredEntity,601,615,T91-3,dried sediment,"{""HasProperty"": ""T81-3""}"
8,S0012821X12004384-1265,4,Quantity,689,695,T22-4,0.05 g,"{""unit"": ""g""}"
9,S0012821X12004384-1265,4,MeasuredEntity,699,713,T32-4,dried sediment,"{""HasQuantity"": ""T22-4""}"
10,S0012821X12004384-1265,5,Quantity,1116,1123,T53-5,>250 μm,"{""mods"": [""IsRange""], ""unit"": ""μm""}"
11,S0012821X12004384-1265,5,MeasuredProperty,1124,1133,T113-5,fractions,"{""HasQuantity"": ""T53-5""}"
12,S0012821X12004384-1265,6,Quantity,1192,1196,T44-6,>90%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
13,S0012821X12004384-1265,6,MeasuredProperty,1201,1231,T2-6,amorphous organic matter (AOM),"{""HasQuantity"": ""T44-6""}"
14,S0012821X12004384-1265,6,MeasuredEntity,1116,1133,T1-6,>250 μm fractions,"{""HasProperty"": ""T2-6""}"
15,S0012821X12004384-1265,7,Quantity,1283,1302,T75-7,between 20 and 60 g,"{""mods"": [""IsRange""], ""unit"": ""g""}"
16,S0012821X12004384-1265,7,MeasuredEntity,1306,1320,T145-7,dried sediment,"{""HasQuantity"": ""T75-7""}"
17,S0012821X12004384-1265,8,Quantity,1357,1362,T66-8,63 μm,"{""unit"": ""μm""}"
18,S0012821X12004384-1265,8,MeasuredEntity,1363,1368,T106-8,sieve,"{""HasQuantity"": ""T66-8""}"
0,S0378383913001567-2462,1,Quantity,68,74,T1-1,0.5 Hz,"{""unit"": ""Hz""}"
1,S0378383913001567-2462,1,MeasuredProperty,63,65,T3-1,fp,"{""HasQuantity"": ""T1-1""}"
2,S0378383913001567-2462,1,MeasuredEntity,41,57,T2-1,JONSWAP spectrum,"{""HasProperty"": ""T3-1""}"
3,S0378383913001567-2462,2,Quantity,84,90,T1-2,1.8 cm,"{""unit"": ""cm""}"
4,S0378383913001567-2462,2,MeasuredProperty,79,81,T4-2,Hp,"{""HasQuantity"": ""T1-2""}"
5,S0378383913001567-2462,2,MeasuredEntity,41,57,T5-2,JONSWAP spectrum,"{""HasProperty"": ""T4-2""}"
0,S0022399913003358-931,1,Quantity,470,478,T1-1,7 to 20%,"{""mods"": [""IsRange""], ""unit"": ""%""}"
1,S0022399913003358-931,1,MeasuredProperty,446,456,T4-1,prevalence,"{""HasQuantity"": ""T1-1""}"
2,S0022399913003358-931,1,MeasuredEntity,492,510,T2-1,general population,"{""HasProperty"": ""T4-1""}"
3,S0022399913003358-931,1,Qualifier,371,390,T3-1,Subjective tinnitus,"{""Qualifies"": ""T4-1""}"
4,S0022399913003358-931,2,Quantity,529,536,T1-2,10 year,"{""unit"": ""year""}"
5,S0022399913003358-931,2,MeasuredEntity,538,551,T3-2,ncidence rate,"{""HasQuantity"": ""T1-2""}"
6,S0022399913003358-931,3,Quantity,567,580,T1-3,over 48 years,"{""mods"": [""IsRange""], ""unit"": ""years""}"
7,S0022399913003358-931,3,MeasuredEntity,555,561,T3-3,adults,"{""HasQuantity"": ""T1-3""}"
8,S0022399913003358-931,4,Quantity,584,587,T1-4,13%,"{""unit"": ""%""}"
9,S0022399913003358-931,4,MeasuredProperty,529,551,T3-4,10 year incidence rate,"{""HasQuantity"": ""T1-4""}"
10,S0022399913003358-931,4,MeasuredEntity,555,580,T2-4,adults aged over 48 years,"{""HasProperty"": ""T3-4""}"
11,S0022399913003358-931,4,Qualifier,371,390,T4-4,Subjective tinnitus,"{""Qualifies"": ""T3-4""}"
12,S0022399913003358-931,5,Quantity,593,609,T1-5,Approximately 5%,"{""mods"": [""IsApproximate""], ""unit"": ""%""}"
13,S0022399913003358-931,5,MeasuredProperty,631,666,T4-5,severely affected by their tinnitus,"{""HasQuantity"": ""T1-5""}"
14,S0022399913003358-931,5,MeasuredEntity,617,627,T2-5,population,"{""HasProperty"": ""T4-5""}"
0,S0038071712001010-944,1,Quantity,224,228,T1-1,115%,"{""unit"": ""%""}"
1,S0038071712001010-944,1,MeasuredProperty,133,176,T2-1,G. mosseae plus G. intraradices combination,"{""HasQuantity"": ""T1-1""}"
2,S0038071712001010-944,1,MeasuredEntity,193,211,T3-1,mycorrhizal growth,"{""HasProperty"": ""T2-1""}"
3,S0038071712001010-944,1,Qualifier,234,251,T5-1,whole plant basis,"{""Qualifies"": ""T1-1""}"
4,S0038071712001010-944,2,Quantity,256,260,T1-2,169%,"{""unit"": ""%""}"
5,S0038071712001010-944,2,MeasuredProperty,133,176,T2-2,G. mosseae plus G. intraradices combination,"{""HasQuantity"": ""T1-2""}"
6,S0038071712001010-944,2,MeasuredEntity,193,211,T3-2,mycorrhizal growth,"{""HasProperty"": ""T2-2""}"
7,S0038071712001010-944,2,Qualifier,266,281,T5-2,root only basis,"{""Qualifies"": ""T1-2""}"
8,S0038071712001010-944,3,Quantity,287,292,T1-3,0.001,
9,S0038071712001010-944,3,MeasuredProperty,283,284,T3-3,P,"{""HasQuantity"": ""T1-3""}"
10,S0038071712001010-944,3,MeasuredEntity,193,220,T2-3,mycorrhizal growth response,"{""HasProperty"": ""T3-3""}"
0,S2213158213000582-1340,1,Quantity,28,35,T1-1,5–55 Hz,"{""unit"": ""Hz""}"
1,S2213158213000582-1340,1,MeasuredEntity,36,51,T3-1,bandpass filter,"{""HasQuantity"": ""T1-1""}"
2,S2213158213000582-1340,2,Quantity,99,108,T1-2,30–130 ms,"{""mods"": [""IsRange""], ""unit"": ""ms""}"
3,S2213158213000582-1340,2,MeasuredProperty,81,98,T3-2,examined activity,"{""HasQuantity"": ""T1-2""}"
4,S2213158213000582-1340,2,MeasuredEntity,65,80,T2-2,VESTAL analyses,"{""HasProperty"": ""T3-2""}"
5,S2213158213000582-1340,2,Qualifier,109,122,T5-2,post-stimulus,"{""Qualifies"": ""T1-2""}"
6,S2213158213000582-1340,3,Quantity,298,304,T1-3,95.81%,"{""mods"": [""IsMean""], ""unit"": ""%""}"
7,S2213158213000582-1340,3,MeasuredProperty,225,259,T2-3,average percent variance explained,"{""HasQuantity"": ""T1-3""}"
8,S2213158213000582-1340,3,MeasuredEntity,264,293,T3-3,gradiometer data using VESTAL,"{""HasProperty"": ""T2-3""}"
9,S2213158213000582-1340,3,Qualifier,309,311,T4-3,HC,"{""Qualifies"": ""T2-3""}"
10,S2213158213000582-1340,4,Quantity,316,322,T1-4,94.38%,"{""unit"": ""%""}"
11,S2213158213000582-1340,4,MeasuredProperty,225,259,T2-4,average percent variance explained,"{""HasQuantity"": ""T1-4""}"
12,S2213158213000582-1340,4,MeasuredEntity,264,293,T5-4,gradiometer data using VESTAL,"{""HasProperty"": ""T2-4""}"
13,S2213158213000582-1340,4,Qualifier,327,329,T4-4,SZ,"{""Qualifies"": ""T2-4""}"
14,S2213158213000582-1340,5,Quantity,417,423,T1-5,96.24%,"{""mods"": [""IsMean""], ""unit"": ""%""}"
15,S2213158213000582-1340,5,MeasuredProperty,335,369,T2-5,average percent variance explained,"{""HasQuantity"": ""T1-5""}"
16,S2213158213000582-1340,5,MeasuredEntity,374,404,T3-5,magnetometer data using VESTAL,"{""HasProperty"": ""T2-5""}"
