	X	label
33	tensor([-2.8056,  2.9675, -1.5623,  ...,  0.0096,  0.0285,  0.0171])	0
34	tensor([-0.1645,  2.5226,  4.4604,  ...,  0.0144,  0.0325,  0.0930])	0
35	tensor([1.6153, 0.4359, 2.2163,  ..., 0.0150, 0.0403, 0.0585])	1
36	"tensor([-5.6967e-02, -1.4109e+00,  3.7768e+00,  ...,  2.2822e-03,
         7.0468e-03,  3.6971e-03])"	1
37	"tensor([-1.2155e+00,  3.1440e+00,  5.1197e+00,  ...,  2.6209e-03,
         4.0073e-03,  9.7544e-03])"	1
38	tensor([-0.6739,  5.1475,  2.4707,  ...,  0.0065,  0.0083,  0.0186])	1
39	tensor([-0.6739,  5.1475,  2.4707,  ...,  0.0062,  0.0071,  0.0182])	0
40	tensor([0.3911, 1.3950, 4.6848,  ..., 0.0063, 0.0083, 0.0072])	1
41	tensor([0.3911, 1.3950, 4.6848,  ..., 0.0070, 0.0298, 0.0307])	0
42	tensor([-0.7605,  3.2868,  2.7729,  ...,  0.0046,  0.0104,  0.0071])	0
43	tensor([-0.7605,  3.2868,  2.7729,  ...,  0.0053,  0.0110,  0.0369])	1
44	tensor([0.0318, 2.8824, 3.2437,  ..., 0.0297, 0.0406, 0.0495])	0
45	tensor([0.0318, 2.8824, 3.2437,  ..., 0.0181, 0.0179, 0.0313])	1
46	tensor([-0.8589,  1.5093,  2.3457,  ...,  0.0143,  0.0356,  0.0143])	1
47	tensor([-0.8589,  1.5093,  2.3457,  ...,  0.0110,  0.0195,  0.0163])	0
48	tensor([ 0.1002,  3.2003, -0.2628,  ...,  0.0233,  0.0194,  0.0256])	1
49	"tensor([1.8482e+00, 2.8871e+00, 2.5438e+00,  ..., 7.7618e-03, 1.3829e-03,
        1.0234e-02])"	1
50	tensor([1.5856, 0.6224, 0.7951,  ..., 0.0320, 0.0543, 0.0320])	1
51	tensor([1.5922, 2.2777, 3.0898,  ..., 0.0046, 0.0097, 0.0106])	1
52	tensor([3.4608, 2.5693, 1.7401,  ..., 0.0072, 0.0121, 0.0383])	1
53	tensor([1.4816, 0.4065, 2.4892,  ..., 0.0193, 0.0194, 0.0652])	1
54	"tensor([-3.1420e+00, -8.8551e-01,  2.6080e-01,  ...,  3.2877e-04,
         5.8493e-03,  1.9113e-03])"	1
55	"tensor([-3.1420e+00, -8.8551e-01,  2.6080e-01,  ...,  4.5403e-04,
         1.4975e-02,  1.0757e-03])"	0
56	"tensor([-3.1420e+00, -8.8551e-01,  2.6080e-01,  ...,  4.6803e-05,
         4.9009e-03,  2.8843e-03])"	0
57	"tensor([-3.1420e+00, -8.8551e-01,  2.6080e-01,  ...,  4.9205e-04,
         4.0865e-03,  4.5481e-03])"	0
58	"tensor([-3.7554e+00,  2.5248e+00,  3.3071e+00,  ...,  2.7066e-04,
         1.4531e-02,  7.3724e-03])"	1
59	"tensor([-3.7554e+00,  2.5248e+00,  3.3071e+00,  ...,  2.3702e-04,
         1.3148e-02,  1.4611e-02])"	0
60	"tensor([-3.7554e+00,  2.5248e+00,  3.3071e+00,  ...,  2.5621e-05,
         4.2315e-03,  4.0274e-03])"	0
61	"tensor([-3.7554e+00,  2.5248e+00,  3.3071e+00,  ...,  2.0731e-04,
         2.3670e-03,  2.5996e-03])"	0
62	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  2.2692e-04,
         2.2442e-03,  1.3206e-03])"	0
63	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9994e-03,
         1.2688e-02,  2.1752e-03])"	1
64	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9210e-04,
         4.8875e-03,  1.2814e-03])"	0
65	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  7.0266e-04,
         4.7894e-03,  2.2650e-03])"	0
66	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  2.2692e-04,
         2.2442e-03,  1.3206e-03])"	0
67	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9994e-03,
         1.2688e-02,  2.1752e-03])"	0
68	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9210e-04,
         4.8875e-03,  1.2814e-03])"	1
69	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  7.0266e-04,
         4.7894e-03,  2.2650e-03])"	0
70	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  2.2692e-04,
         2.2442e-03,  1.3206e-03])"	0
71	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9994e-03,
         1.2688e-02,  2.1752e-03])"	0
72	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  1.9210e-04,
         4.8875e-03,  1.2814e-03])"	0
73	"tensor([-6.2624e+00,  1.4682e+00,  1.4820e+00,  ...,  7.0266e-04,
         4.7894e-03,  2.2650e-03])"	1
74	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  4.2431e-05,
         8.0539e-04,  4.0576e-03])"	0
75	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  8.3109e-04,
         4.6128e-03,  2.2587e-03])"	1
76	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  2.8675e-04,
         5.2856e-03,  4.6119e-03])"	0
77	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  1.0397e-03,
         8.4488e-03,  5.3831e-03])"	0
78	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  4.2431e-05,
         8.0539e-04,  4.0576e-03])"	0
79	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  8.3109e-04,
         4.6128e-03,  2.2587e-03])"	0
80	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  2.8675e-04,
         5.2856e-03,  4.6119e-03])"	1
81	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  1.0397e-03,
         8.4488e-03,  5.3831e-03])"	0
82	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  4.2431e-05,
         8.0539e-04,  4.0576e-03])"	0
83	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  8.3109e-04,
         4.6128e-03,  2.2587e-03])"	0
84	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  2.8675e-04,
         5.2856e-03,  4.6119e-03])"	0
85	"tensor([ 2.9644e-01, -8.1016e-01,  4.5668e+00,  ...,  1.0397e-03,
         8.4488e-03,  5.3831e-03])"	1
86	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 9.3161e-04, 4.6546e-03,
        2.1594e-02])"	0
87	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 2.2123e-04, 1.7548e-03,
        5.0398e-03])"	1
88	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 7.4123e-05, 9.8139e-04,
        6.3680e-03])"	0
89	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 9.3161e-04, 4.6546e-03,
        2.1594e-02])"	0
90	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 2.2123e-04, 1.7548e-03,
        5.0398e-03])"	0
91	"tensor([1.7728e+00, 1.2291e+00, 1.5323e+00,  ..., 7.4123e-05, 9.8139e-04,
        6.3680e-03])"	0
92	"tensor([6.7482e-01, 2.1694e+00, 2.2678e+00,  ..., 9.9258e-04, 4.8345e-03,
        1.3026e-02])"	1
93	"tensor([6.7482e-01, 2.1694e+00, 2.2678e+00,  ..., 2.9552e-04, 1.2465e-03,
        1.4251e-03])"	0
94	"tensor([6.7482e-01, 2.1694e+00, 2.2678e+00,  ..., 6.7969e-05, 1.1624e-03,
        2.4408e-03])"	0
95	"tensor([-5.2898e-01, -1.0544e-01,  6.8154e+00,  ...,  2.3574e-04,
         3.8030e-03,  2.3642e-03])"	0
96	"tensor([-5.2898e-01, -1.0544e-01,  6.8154e+00,  ...,  2.0466e-04,
         7.9979e-03,  3.4815e-03])"	1
97	"tensor([-5.2898e-01, -1.0544e-01,  6.8154e+00,  ...,  1.1174e-04,
         8.6093e-03,  5.7262e-03])"	0
98	"tensor([-1.4393e+00, -1.6366e+00,  6.9160e+00,  ...,  1.3350e-03,
         3.3038e-03,  2.3438e-03])"	0
99	"tensor([-1.4393e+00, -1.6366e+00,  6.9160e+00,  ...,  1.5825e-03,
         6.3862e-03,  3.2792e-03])"	0
100	"tensor([-1.4393e+00, -1.6366e+00,  6.9160e+00,  ...,  2.0642e-03,
         2.1993e-02,  7.0484e-03])"	1
101	"tensor([4.5850e-01, 8.7031e-01, 6.7719e+00,  ..., 1.5390e-03, 1.0709e-02,
        4.7422e-03])"	1
102	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  4.5427e-04,
         2.0744e-03,  2.6066e-03])"	1
103	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  1.3248e-04,
         1.1368e-03,  1.7057e-03])"	0
104	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  5.1789e-05,
         1.2931e-03,  1.1030e-03])"	0
105	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  4.5427e-04,
         2.0744e-03,  2.6066e-03])"	0
106	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  1.3248e-04,
         1.1368e-03,  1.7057e-03])"	1
107	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  5.1789e-05,
         1.2931e-03,  1.1030e-03])"	0
108	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  4.5427e-04,
         2.0744e-03,  2.6066e-03])"	0
109	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  1.3248e-04,
         1.1368e-03,  1.7057e-03])"	0
110	"tensor([-1.2723e+00,  1.9991e+00,  3.6502e+00,  ...,  5.1789e-05,
         1.2931e-03,  1.1030e-03])"	1
111	"tensor([-1.0902e-01,  3.5372e+00,  3.0066e+00,  ...,  3.6492e-04,
         3.3465e-03,  3.9241e-03])"	1
112	"tensor([-1.0902e-01,  3.5372e+00,  3.0066e+00,  ...,  1.8627e-04,
         3.4233e-03,  4.7594e-03])"	0
113	"tensor([-1.0902e-01,  3.5372e+00,  3.0066e+00,  ...,  8.3070e-05,
         3.5076e-03,  4.7744e-03])"	0
114	"tensor([-1.0977e+00,  2.6624e+00,  2.0381e+00,  ...,  2.8018e-04,
         2.5191e-03,  7.1012e-03])"	0
115	"tensor([-1.0977e+00,  2.6624e+00,  2.0381e+00,  ...,  1.5877e-04,
         5.2361e-03,  1.1263e-02])"	1
116	"tensor([-1.0977e+00,  2.6624e+00,  2.0381e+00,  ...,  7.6247e-05,
         8.1606e-03,  1.2901e-02])"	0
117	"tensor([-3.5608e+00,  2.5666e+00,  8.7236e-01,  ...,  3.4948e-04,
         2.2664e-03,  4.1273e-03])"	0
118	"tensor([-3.5608e+00,  2.5666e+00,  8.7236e-01,  ...,  3.4423e-04,
         6.7487e-03,  9.3194e-03])"	0
119	"tensor([-3.5608e+00,  2.5666e+00,  8.7236e-01,  ...,  2.1859e-04,
         1.8798e-02,  1.2922e-02])"	1
120	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0218,  0.0133])	1
121	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0224,  0.0345])	0
122	"tensor([-9.3693e-01,  1.3588e+00,  2.0819e+00,  ...,  9.1833e-04,
         1.6923e-02,  2.2792e-02])"	0
123	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0218,  0.0133])	0
124	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0224,  0.0345])	1
125	"tensor([-9.3693e-01,  1.3588e+00,  2.0819e+00,  ...,  9.1833e-04,
         1.6923e-02,  2.2792e-02])"	0
126	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0218,  0.0133])	0
127	tensor([-0.9369,  1.3588,  2.0819,  ...,  0.0028,  0.0224,  0.0345])	0
128	"tensor([-9.3693e-01,  1.3588e+00,  2.0819e+00,  ...,  9.1833e-04,
         1.6923e-02,  2.2792e-02])"	1
129	tensor([-1.3691,  1.3167,  3.5995,  ...,  0.0042,  0.0280,  0.0058])	1
130	"tensor([-1.3691e+00,  1.3167e+00,  3.5995e+00,  ...,  2.7479e-03,
         1.5687e-02,  8.5289e-03])"	0
131	"tensor([-1.3691e+00,  1.3167e+00,  3.5995e+00,  ...,  1.5041e-03,
         1.8591e-02,  7.9380e-03])"	0
132	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0044, 0.0094, 0.0056])	0
133	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0053, 0.0138, 0.0088])	1
134	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0041, 0.0161, 0.0078])	0
135	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0044, 0.0094, 0.0056])	0
136	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0053, 0.0138, 0.0088])	0
137	tensor([1.2260, 1.2314, 2.6806,  ..., 0.0041, 0.0161, 0.0078])	1
138	tensor([2.3197, 2.5529, 3.1692,  ..., 0.0307, 0.0326, 0.0143])	1
139	tensor([3.3261, 0.8842, 1.5908,  ..., 0.0466, 0.0136, 0.0046])	1
140	tensor([-2.3264,  1.6879, -0.8934,  ...,  0.0086,  0.0325,  0.0136])	1
141	"tensor([-3.4575e-01,  7.7153e-01,  4.5548e+00,  ...,  2.4388e-03,
         6.6672e-03,  3.3485e-02])"	1
142	"tensor([-2.6789e+00,  9.2552e-01,  2.5192e+00,  ...,  3.8851e-04,
         5.1840e-03,  6.8353e-03])"	1
143	"tensor([-5.1094e-01, -2.2719e-01,  2.9340e+00,  ...,  1.2737e-03,
         5.8737e-03,  5.4586e-03])"	1
144	tensor([-0.3724,  2.7028,  2.3322,  ...,  0.0178,  0.0185,  0.0113])	1
145	tensor([1.8564, 1.1286, 5.6399,  ..., 0.0224, 0.0253, 0.0477])	1
146	tensor([-3.5363,  1.0807,  3.5670,  ...,  0.0087,  0.0130,  0.0089])	1
147	tensor([-3.6109,  2.3704,  2.7317,  ...,  0.0118,  0.0392,  0.0509])	1
148	tensor([-0.3964, -0.5422,  3.7742,  ...,  0.0054,  0.0040,  0.0143])	1
149	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  2.1584e-03,
         1.6679e-03,  9.7898e-03])"	0
150	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  1.6075e-03,
         2.2881e-03,  1.1968e-02])"	0
151	tensor([-0.3964, -0.5422,  3.7742,  ...,  0.0054,  0.0040,  0.0143])	0
152	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  2.1584e-03,
         1.6679e-03,  9.7898e-03])"	1
153	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  1.6075e-03,
         2.2881e-03,  1.1968e-02])"	0
154	tensor([-0.3964, -0.5422,  3.7742,  ...,  0.0054,  0.0040,  0.0143])	0
155	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  2.1584e-03,
         1.6679e-03,  9.7898e-03])"	0
156	"tensor([-3.9644e-01, -5.4225e-01,  3.7742e+00,  ...,  1.6075e-03,
         2.2881e-03,  1.1968e-02])"	1
157	"tensor([-1.7077e+00,  3.6843e+00,  7.0397e-01,  ...,  3.2779e-03,
         5.5699e-03,  9.0010e-03])"	1
158	"tensor([-1.7077e+00,  3.6843e+00,  7.0397e-01,  ...,  2.2562e-03,
         3.0040e-03,  8.6954e-03])"	0
159	"tensor([-1.7077e+00,  3.6843e+00,  7.0397e-01,  ...,  2.2767e-03,
         4.8605e-03,  1.0314e-02])"	0
160	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.6044e-03,
         4.2735e-03,  1.1476e-02])"	0
161	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.0119e-03,
         2.7964e-03,  9.6756e-03])"	1
162	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.0563e-03,
         4.3790e-03,  1.3012e-02])"	0
163	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.6044e-03,
         4.2735e-03,  1.1476e-02])"	0
164	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.0119e-03,
         2.7964e-03,  9.6756e-03])"	0
165	"tensor([-1.7486e+00,  2.7838e+00, -7.0160e-01,  ...,  1.0563e-03,
         4.3790e-03,  1.3012e-02])"	1
166	tensor([1.9798, 1.7901, 1.0053,  ..., 0.0136, 0.0272, 0.0229])	1
167	tensor([ 2.1079, -0.9084,  4.9669,  ...,  0.0344,  0.0592,  0.0372])	0
168	"tensor([ 2.1079e+00, -9.0838e-01,  4.9669e+00,  ...,  2.1233e-04,
         5.4969e-04,  2.9724e-04])"	1
169	"tensor([ 2.1079e+00, -9.0838e-01,  4.9669e+00,  ...,  3.9921e-05,
         4.9119e-05,  5.4184e-05])"	0
170	tensor([ 2.1079, -0.9084,  4.9669,  ...,  0.0344,  0.0592,  0.0372])	0
171	"tensor([ 2.1079e+00, -9.0838e-01,  4.9669e+00,  ...,  2.1233e-04,
         5.4969e-04,  2.9724e-04])"	0
172	"tensor([ 2.1079e+00, -9.0838e-01,  4.9669e+00,  ...,  3.9921e-05,
         4.9119e-05,  5.4184e-05])"	1
173	"tensor([7.3686e-01, 7.4812e-01, 3.4051e+00,  ..., 2.1646e-03, 6.8433e-03,
        3.4310e-02])"	1
174	"tensor([7.3686e-01, 7.4812e-01, 3.4051e+00,  ..., 5.0873e-05, 4.3117e-04,
        5.0641e-04])"	0
175	"tensor([7.3686e-01, 7.4812e-01, 3.4051e+00,  ..., 1.3117e-05, 6.7177e-05,
        6.0836e-05])"	0
176	"tensor([-5.8068e-02,  5.1429e-01,  1.9394e+00,  ...,  4.7670e-04,
         5.0381e-04,  4.1881e-03])"	0
177	"tensor([-5.8068e-02,  5.1429e-01,  1.9394e+00,  ...,  2.3535e-04,
         5.8042e-03,  3.9601e-03])"	1
178	"tensor([-5.8068e-02,  5.1429e-01,  1.9394e+00,  ...,  6.8528e-05,
         3.1814e-03,  1.9252e-03])"	0
179	"tensor([ 1.5252e+00, -1.0227e+00,  8.1636e-01,  ...,  1.8752e-04,
         2.5594e-04,  3.0208e-03])"	0
180	"tensor([ 1.5252e+00, -1.0227e+00,  8.1636e-01,  ...,  1.5533e-04,
         5.7799e-03,  5.6516e-03])"	0
181	"tensor([ 1.5252e+00, -1.0227e+00,  8.1636e-01,  ...,  2.1816e-04,
         6.9199e-03,  3.4618e-03])"	1
182	"tensor([-5.4126e-01,  7.7961e-01,  1.2338e+00,  ...,  5.4887e-04,
         1.4794e-02,  1.8346e-02])"	1
183	"tensor([-5.4126e-01,  7.7961e-01,  1.2338e+00,  ...,  2.6223e-04,
         1.9230e-03,  7.2544e-03])"	0
184	"tensor([2.7335e+00, 1.8518e+00, 4.1005e+00,  ..., 2.2488e-04, 1.1984e-02,
        1.9027e-03])"	0
185	"tensor([2.7335e+00, 1.8518e+00, 4.1005e+00,  ..., 4.3657e-04, 1.3335e-02,
        1.4024e-02])"	1
186	"tensor([2.7335e+00, 1.8518e+00, 4.1005e+00,  ..., 2.2488e-04, 1.1984e-02,
        1.9027e-03])"	0
187	"tensor([2.7335e+00, 1.8518e+00, 4.1005e+00,  ..., 4.3657e-04, 1.3335e-02,
        1.4024e-02])"	0
188	"tensor([-3.6859e-01, -1.0024e+00,  6.3524e+00,  ...,  4.4230e-04,
         8.4445e-03,  2.0097e-03])"	0
189	"tensor([-3.6859e-01, -1.0024e+00,  6.3524e+00,  ...,  9.2566e-04,
         4.4588e-03,  4.7779e-03])"	0
190	"tensor([ 3.9043e-01, -3.3331e-01,  5.3936e+00,  ...,  3.1676e-03,
         1.2292e-02,  1.2446e-02])"	1
191	tensor([0.8131, 2.9312, 3.5142,  ..., 0.0241, 0.0191, 0.0571])	1
192	"tensor([4.2880e-01, 3.3738e-01, 5.5088e+00,  ..., 1.8931e-03, 1.9405e-02,
        2.2319e-02])"	1
193	tensor([-1.5247,  2.0355,  4.0199,  ...,  0.0136,  0.0198,  0.0667])	1
194	tensor([-1.5247,  2.0355,  4.0199,  ...,  0.0136,  0.0198,  0.0667])	0
195	"tensor([1.8295e+00, 1.2878e+00, 4.5258e+00,  ..., 1.5861e-04, 6.7290e-03,
        1.5406e-02])"	1
196	"tensor([2.9733e+00, 8.5966e-01, 4.3064e+00,  ..., 3.3625e-04, 8.9752e-03,
        6.7591e-03])"	1
197	tensor([-0.6677,  1.7245, -1.0149,  ...,  0.0084,  0.0279,  0.0259])	1
198	tensor([2.9053, 0.9675, 0.7253,  ..., 0.0053, 0.0124, 0.0156])	1
199	"tensor([-1.2790e+00, -1.0806e+00,  2.3770e+00,  ...,  5.5040e-04,
         1.1484e-03,  9.6452e-05])"	1
200	"tensor([-1.2790e+00, -1.0806e+00,  2.3770e+00,  ...,  2.8045e-04,
         1.7748e-03,  2.7197e-04])"	0
201	"tensor([-8.8308e-02,  2.7513e+00,  8.7943e-01,  ...,  6.2532e-04,
         6.3498e-04,  4.2436e-04])"	1
202	"tensor([-8.8308e-02,  2.7513e+00,  8.7943e-01,  ...,  1.8232e-04,
         7.3998e-04,  4.8314e-04])"	0
203	"tensor([-8.4585e-01, -1.2198e+00, -1.0046e+00,  ...,  4.1756e-04,
         4.3558e-04,  5.1404e-05])"	0
204	"tensor([-8.4585e-01, -1.2198e+00, -1.0046e+00,  ...,  1.0527e-02,
         2.2045e-03,  2.9882e-04])"	1
205	"tensor([ 4.9086e-01,  3.6101e+00, -1.3416e+00,  ...,  2.3566e-04,
         3.2771e-04,  2.9683e-04])"	0
206	"tensor([ 4.9086e-01,  3.6101e+00, -1.3416e+00,  ...,  3.6115e-03,
         1.0806e-03,  4.8910e-04])"	1
207	tensor([-0.2534,  0.6298,  3.3011,  ...,  0.0130,  0.0122,  0.0084])	1
208	"tensor([-1.1123e+00,  2.0129e-01,  4.6207e+00,  ...,  3.2898e-03,
         1.0208e-02,  2.3718e-02])"	1
209	tensor([3.5624, 0.7651, 2.0927,  ..., 0.0243, 0.0218, 0.0546])	1
210	tensor([3.3969, 1.4993, 3.0914,  ..., 0.0153, 0.0320, 0.0519])	1
211	tensor([-0.6876,  2.2963,  5.2032,  ...,  0.0154,  0.0118,  0.0298])	1
212	"tensor([-6.8758e-01,  2.2963e+00,  5.2032e+00,  ...,  9.7725e-03,
         5.0377e-03,  1.9229e-02])"	0
213	tensor([-0.6876,  2.2963,  5.2032,  ...,  0.0154,  0.0118,  0.0298])	0
214	"tensor([-6.8758e-01,  2.2963e+00,  5.2032e+00,  ...,  9.7725e-03,
         5.0377e-03,  1.9229e-02])"	1
215	tensor([0.6182, 0.8085, 4.1191,  ..., 0.0170, 0.0155, 0.0206])	1
216	tensor([0.6182, 0.8085, 4.1191,  ..., 0.0098, 0.0107, 0.0165])	0
217	tensor([0.6182, 0.8085, 4.1191,  ..., 0.0170, 0.0155, 0.0206])	0
218	tensor([0.6182, 0.8085, 4.1191,  ..., 0.0098, 0.0107, 0.0165])	1
219	tensor([-1.5047,  2.8163,  5.5435,  ...,  0.0276,  0.0153,  0.0259])	1
220	tensor([-1.5047,  2.8163,  5.5435,  ...,  0.0191,  0.0075,  0.0165])	0
221	tensor([-1.5047,  2.8163,  5.5435,  ...,  0.0276,  0.0153,  0.0259])	0
222	tensor([-1.5047,  2.8163,  5.5435,  ...,  0.0191,  0.0075,  0.0165])	1
