,document_name,sentence,potential_measurements,noun_phrases
10,S0032386113005454-2055.txt,A double-cantilever mode at 1 Hz was employed using test specimens 60 × 10 × 3 mm3 in size.,"[['CARDINAL', 39, 40], ['CARDINAL', 46, 47]]","[['A double-cantilever mode', 33, 38], ['1 Hz', 39, 41], ['test', 44, 45], ['×', 49, 50], ['size', 53, 54]]"
11,S0032386113005454-2055.txt,The temperature range used was −100 °C to 200 °C with a heating rate of 4 °C/min.,"[['CARDINAL', 64, 65], ['CARDINAL', 72, 73]]","[['The temperature range', 55, 58], ['−100 °C', 60, 63], ['200 °C', 64, 67], ['a heating rate', 68, 71], ['4 °C/min', 72, 77]]"
12,S0032386113005454-2055.txt,"As the density of the epoxy was only measured at room temperature, the value of the front factor, q, was taken to be 0.725, as in previous work [21].","[['CARDINAL', 201, 202]]","[['the density', 169, 171], ['the epoxy', 172, 174], ['room temperature', 178, 180], ['the value', 181, 183], ['the front factor', 184, 187], ['q', 188, 189], ['previous work', 198, 200]]"
13,S0032386113005454-2055.txt,"The density, ρ, of the epoxy was measured at room temperature according to BS ISO 1183-1","[['ORG', 219, 224]]","[['The density', 204, 206], ['the epoxy', 210, 212], ['room temperature', 215, 217], ['BS ISO', 219, 221]]"
14,S0032386113005454-2055.txt,[22] to be 1.20 g/m3 at 20 °C.,"[['CARDINAL', 227, 228], ['CARDINAL', 231, 232], ['CARDINAL', 236, 237]]","[['1.20 g/m3', 231, 235], ['20 °C', 236, 239]]"
15,S0012821X12004384-1249.txt,Borehole 22/10a-4 (57°44’8.47”N; 1°50’26.59”E) provides a continuous core through the Forties Sandstone Member and into the Lista Formation (Fig. 2).,"[['CARDINAL', 1, 2], ['CARDINAL', 3, 4], ['CARDINAL', 5, 6], ['CARDINAL', 7, 8], ['CARDINAL', 9, 10], ['ORG', 16, 20], ['ORG', 22, 25], ['PERSON', 26, 27], ['CARDINAL', 28, 29]]","[['Borehole 22/10a-4', 0, 2], ['57°', 3, 5], ['1°', 7, 9], ['a continuous core', 12, 15], ['the Forties Sandstone Member', 16, 20], ['the Lista Formation', 22, 25], ['(Fig', 25, 27]]"
16,S0012821X12004384-1249.txt,"The core consists of variably fissile claystone with interbedded fine to coarse grained sandstone layers interpreted as turbidites, with occasional mm-thick ash layers (Fig. 3).","[['ORG', 58, 59], ['CARDINAL', 60, 61]]","[['The core', 31, 33], ['variably fissile claystone', 35, 38], ['interbedded fine', 39, 41], ['grained sandstone layers', 43, 46], ['turbidites', 48, 49], ['occasional mm-thick ash layers', 51, 57], ['Fig', 58, 59]]"
17,S0012821X12004384-1249.txt,"The section of 22/10a-4 analysed in this study is from 2605 m to 2634 m (core depth), chosen because this part of the core is predominantly in claystone facies and provides a greatly expanded section over the onset of the CIE (Figs. 2 and 3).","[['CARDINAL', 85, 86], ['DATE', 92, 93], ['CARDINAL', 95, 96], ['ORG', 125, 126], ['CARDINAL', 131, 132]]","[['The section', 82, 84], ['22/10a-4', 85, 86], ['this study', 88, 90], ['2634 m', 95, 97], ['core depth', 98, 100], ['this part', 104, 106], ['the core', 107, 109], ['claystone facies', 112, 114], ['a greatly expanded section', 116, 120], ['the onset', 121, 123], ['the CIE', 124, 126], ['Figs', 127, 128]]"
18,S0012821X12004384-1249.txt,At 2609–2613 m the claystone becomes finely laminated with alternately pale and dark laminae couplets ranging from 1 to 25 per mm (Fig. S2).,"[['CARDINAL', 135, 136], ['CARDINAL', 151, 154], ['PERSON', 155, 156], ['PERSON', 157, 158], ['PERSON', 159, 160]]","[['2609–2613 m', 135, 137], ['the claystone', 137, 139], ['alternately pale and dark laminae couplets', 143, 149], ['mm', 155, 156]]"
19,S0012821X12004384-1249.txt,Laminae were counted at 26 horizons throughout the core and approximately 13 pairs per mm.,"[['CARDINAL', 188, 189], ['CARDINAL', 194, 196], ['PERSON', 198, 199]]","[['Laminae', 184, 185], ['26 horizons', 188, 190], ['the core', 191, 193], ['approximately 13 pairs', 194, 197], ['mm', 198, 199]]"
20,S0012821X13007309-1691.txt,"The Livello Bonarelli is a 1 m thick condensed interval of millimetre-laminated black shale and brown radiolarian sand that represents the sedimentary expression of part of OAE 2 (Arthur and Premoli Silva, 1982).","[['PERSON', 21, 22], ['CARDINAL', 24, 25], ['GPE', 50, 51], ['PERSON', 52, 54], ['DATE', 55, 56]]","[['The Livello Bonarelli', 19, 22], ['a 1 m thick condensed interval', 23, 29], ['millimetre-laminated black shale and brown radiolarian sand', 30, 39], ['the sedimentary expression', 41, 44], ['part', 45, 46], ['OAE', 47, 48], ['(Arthur', 49, 51], ['Premoli Silva', 52, 54]]"
21,S0012821X13007309-1691.txt,"Up to 20 m beneath the Bonarelli level there are numerous centimetre scale organic-rich shale layers (Jenkyns et al., 2007).","[['CARDINAL', 58, 60], ['CARDINAL', 60, 61], ['PERSON', 64, 65], ['DATE', 82, 83]]","[['Up to 20 m', 58, 62], ['the Bonarelli level', 63, 66], ['numerous centimetre scale organic-rich shale layers', 68, 76], ['Jenkyns et al', 77, 80]]"
22,S0012821X13007309-1691.txt,"The δ13Corg record has a narrow variation in background values prior to OAE 2, ∼−25.9 to −26.5‰. The characteristic positive excursion in δ13Corg is a 4‰ shift, −27.2 to −23.1‰, occurring within <0.5 m (Fig. 2; Supplementary Material, Table 1e).","[['ORG', 108, 109], ['CARDINAL', 111, 112], ['CARDINAL', 114, 115], ['CARDINAL', 121, 122], ['ORG', 124, 125], ['CARDINAL', 126, 127]]","[['The δ13Corg record', 85, 88], ['a narrow variation', 89, 92], ['background values', 93, 95], ['OAE', 97, 98], ['The characteristic positive excursion', 103, 107], ['δ13Corg', 108, 109], ['a 4‰ shift', 110, 113], ['−23.1‰', 116, 117], ['0.5 m', 121, 123], ['Table 1e', 131, 133]]"
23,S0019103511004994-1399.txt,"Enceladus, one out of currently 62 satellites of Saturn, orbits the planet at a distance of 3.95 Saturn radii RS (1RS = 60,268 km) and is embedded in the radiation belts of Saturn’s inner magnetosphere.","[['NORP', 0, 1], ['CARDINAL', 2, 3], ['CARDINAL', 6, 7], ['PRODUCT', 9, 10], ['CARDINAL', 18, 19], ['PRODUCT', 19, 20], ['ORG', 21, 22], ['CARDINAL', 23, 24], ['QUANTITY', 25, 27], ['MONEY', 36, 38]]","[['Enceladus', 0, 1], ['currently 62 satellites', 5, 8], ['Saturn', 9, 10], ['the planet', 12, 14], ['a distance', 15, 17], ['3.95 Saturn', 18, 20], ['RS', 21, 22], ['the radiation belts', 32, 35], ['Saturn’s inner magnetosphere', 36, 40]]"
24,S0019103511004994-1399.txt,"Even with a small radius REnc of only 252 km and an apparent similarity to other icy moons, this moon is by far the most important internal source of dust, neutral gas and plasma in the saturnian system and especially in the magnetosphere.","[['ORG', 46, 47]]","[['a small radius', 43, 46], ['only 252 km', 48, 51], ['an apparent similarity', 52, 55], ['other icy moons', 56, 59], ['this moon', 60, 62], ['the most important internal source', 65, 70], ['dust', 71, 72], ['neutral gas', 73, 75], ['plasma', 76, 77], ['the saturnian system', 78, 81], ['the magnetosphere', 84, 86]]"
25,S0019103511004994-1399.txt,"As already inferred from data of the first flybys of the Pioneer 11 (1979), Voyager 1 (1980) and Voyager 2 (1981) spacecraft, respectively (Smith et al., 1981; Krimigis et al., 1982), this moon plays the same role Io does for the jovian system.","[['ORDINAL', 94, 95], ['DATE', 101, 102], ['DATE', 107, 108], ['PRODUCT', 110, 112], ['DATE', 113, 114], ['DATE', 124, 125], ['DATE', 131, 132], ['LOC', 140, 141]]","[['data', 91, 92], ['the first flybys', 93, 96], ['the Pioneer', 97, 99], ['Smith et al', 119, 122], ['Krimigis et al', 126, 129], ['this moon', 134, 136], ['the same role', 137, 140], ['Io', 140, 141], ['the jovian system', 143, 146]]"
26,S0019103511004994-1399.txt,"The Cassini spacecraft, in orbit around Saturn since July 2004, has flown by Enceladus 14 times between 2005 and 2010.","[['PERSON', 148, 149], ['PRODUCT', 154, 155], ['DATE', 156, 158], ['ORG', 162, 164], ['DATE', 165, 169]]","[['The Cassini spacecraft', 147, 150], ['orbit', 152, 153], ['Saturn', 154, 155], ['July', 156, 157], ['Enceladus', 162, 163]]"
27,S0019103511004994-1399.txt,"Data from Cassini instrument teams identified a plume of water geysers above the so called “tigerstripes” on the south pole of the moon (Dougherty et al., 2006; Porco et al., 2006).","[['GPE', 172, 173], ['DATE', 201, 202], ['PERSON', 203, 204], ['DATE', 208, 209]]","[['Data', 170, 171], ['Cassini', 172, 173], ['instrument teams', 173, 175], ['a plume', 176, 178], ['water geysers', 179, 181], ['the so called “tigerstripes', 182, 187], ['the south pole', 189, 192], ['the moon', 193, 195], ['.', 206, 207]]"
28,S0019103511004994-1399.txt,This discovery is one of the most important findings to better understand the saturnian magnetosphere.,[],"[['This discovery', 211, 213], ['the most important findings', 216, 220]]"
29,S0019103511004994-1399.txt,"The material released in the form of water gas, ice molecules and dust (Waite et al., 2006; Spahn et al., 2006) from those geysers is the main source of the E-ring and the neutral torus and is the major plasma source of water group ions in the magnetosphere.","[['DATE', 247, 248], ['DATE', 254, 255]]","[['The material', 227, 229], ['the form', 231, 233], ['water gas', 234, 236], ['ice molecules', 237, 239], ['dust', 240, 241], ['Waite', 242, 243], ['et al', 243, 245], ['Spahn et al', 249, 252], ['those geysers', 257, 259], ['the main source', 260, 263], ['the E', 264, 266], ['-', 266, 267], ['ring', 267, 268], ['the neutral torus', 269, 272], ['the major plasma source', 274, 278], ['water group ions', 279, 282], ['the magnetosphere', 283, 285]]"
30,S0019103511004994-1399.txt,(2009).,"[['DATE', 304, 305]]",[]
31,S2213671113000908-640.txt,(C) C-peptide and PDX1 expression was confirmed by immunocytochemistry of cells differentiated for 25 days.,"[['ORG', 7, 8], ['DATE', 17, 19]]","[['(C) C-peptide', 0, 6], ['PDX1 expression', 7, 9], ['immunocytochemistry', 12, 13], ['cells', 14, 15], ['25 days', 17, 19]]"
32,S2213158213000302-1597.txt,"The MMNm component is an early (between 100 and 200 ms), automatic or largely pre-attentive response (Naatanen et al., 2007).","[['CARDINAL', 29, 33], ['LOC', 44, 45], ['DATE', 49, 50]]","[['The MMNm component', 22, 25], ['an early (between 100 and 200 ms), automatic or largely pre-attentive response', 26, 43], ['Naatanen et al', 44, 47]]"
33,S2213158213000302-1597.txt,"Particularly relevant is that a prefrontal contribution to change detection also occurs within this early time window, demonstrated in Garrido and colleagues' dynamic causal modelling of a roving oddball paradigm (Garrido et al., 2008) and the effects of frontal lesions (Alho et al., 1994).","[['GPE', 72, 73], ['DATE', 104, 105]]","[['a prefrontal contribution', 56, 59], ['detection', 61, 62], ['this early time window', 65, 69], ['Garrido', 72, 73], [""colleagues' dynamic causal modelling"", 74, 79], ['a roving oddball paradigm', 80, 84], ['(Garrido', 84, 86], ['et al', 86, 88], ['frontal lesions', 96, 98], ['Alho et al', 99, 102]]"
34,S2213158213000302-1597.txt,"This suggests that if the prefrontal cortical dysfunction in the two patient groups is the cause of the altered network response, then this affects the very early stages of stimuli processing.","[['CARDINAL', 117, 118]]","[['the prefrontal cortical dysfunction', 111, 115], ['the two patient groups', 116, 120], ['the cause', 121, 123], ['the altered network response', 124, 128], ['the very early stages', 132, 136], ['stimuli processing', 137, 139]]"
35,S2213158213000302-1597.txt,"Although this early component is distinct from the later M300 response, which reflects attentional processing (Wronka et al., 2008), it is still relevant to high order cognitive processes, (Naatanen et al., 2007, 2012).","[['LOC', 176, 177], ['DATE', 181, 182], ['DATE', 183, 184]]","[['this early component', 141, 144], ['the later M300 response', 147, 151], ['attentional processing', 154, 156], ['Wronka et al', 157, 160], ['it', 165, 166], ['high order cognitive processes', 170, 174], ['Naatanen et al', 176, 179]]"
36,S0925443913001385-1646.txt,"In order to determine whether the MRPL12 mutation also induced changes in composition and assembly of the mitochondrial ribosomal large and small subunits, mitochondrial lysates from cultured fibroblasts (subject and control) were fractionated on isokinetic sucrose gradients (10–30%, as in Ref.","[['PERCENT', 41, 43], ['GPE', 46, 47]]","[['order', 1, 2], ['the MRPL12 mutation', 5, 8], ['changes', 10, 11], ['composition', 12, 13], ['assembly', 14, 15], ['the mitochondrial ribosomal large and small subunits', 16, 23], ['mitochondrial lysates', 24, 26], ['cultured fibroblasts', 27, 29], ['subject', 30, 31], ['control', 32, 33], ['isokinetic sucrose gradients', 37, 40], ['10–30%', 41, 43], ['Ref', 46, 47]]"
37,S0925443913001385-1646.txt,[47]).,"[['CARDINAL', 49, 50]]",[]
38,S0925443913001385-1646.txt,"On analysis MRPL12 from the patient was substantially decreased in all fractions but detectable in the fractions consistent with mt-LSU; however it was noticeably absent from the free pool (fractions 1 and 2, Fig. 5).","[['CARDINAL', 114, 115], ['CARDINAL', 116, 117], ['PERSON', 118, 119], ['CARDINAL', 120, 121]]","[['analysis', 81, 82], ['the patient', 84, 86], ['all fractions', 90, 92], ['the fractions', 95, 97], ['mt-LSU', 99, 102], ['it', 104, 105], ['the free pool', 109, 112], ['fractions', 113, 114]]"
39,S0925443913001385-1646.txt,"This was in contrast to the control that exhibited a pool of free MRPL12, which has been reported to interact with POLRMT [56].","[['ORG', 145, 146], ['CARDINAL', 147, 148]]","[['contrast', 126, 127], ['the control', 128, 130], ['a pool', 132, 134], ['free MRPL12', 135, 137], ['POLRMT', 145, 146]]"
40,S0925443913001385-1646.txt,"The MRPL12 mutation impacted more modestly on the small ribosomal subunit, with DAP3 apparently unaffected and MRPS18B found in lower amounts only in fractions 4 and 5 but otherwise with similar steady state levels and distribution profile compared to control.","[['CARDINAL', 193, 194], ['CARDINAL', 195, 196]]","[['The MRPL12 mutation', 168, 171], ['the small ribosomal subunit', 175, 179], ['DAP3', 181, 182], ['MRPS18B', 185, 186], ['lower amounts', 188, 190], ['fractions', 192, 193], ['similar steady state levels', 199, 203], ['distribution profile', 204, 206], ['control', 208, 209]]"
41,S0925443913001385-1646.txt,"Since POLRMT and MRPL12 have been published as interactors, we analyzed both the steady state level and gradient distribution of POLRMT to see if these were affected by the MRPL12 mutation.","[['ORG', 211, 212], ['ORG', 231, 232]]","[['POLRMT', 211, 212], ['interactors', 218, 219], ['we', 220, 221], ['both the steady state level and gradient distribution', 222, 230], ['POLRMT', 231, 232], ['the MRPL12 mutation', 239, 242]]"
42,S0925443913001385-1646.txt,"Overall levels in the subject sample were decreased to 63% of control value (Fig. 5B) but distribution in the gradient appeared largely unaffected with the exception of fraction 11, where levels were lower than control (Fig.","[['PERCENT', 252, 254], ['ORG', 258, 259], ['CARDINAL', 260, 261], ['DATE', 275, 276], ['PERSON', 284, 285]]","[['Overall levels', 243, 245], ['the subject sample', 246, 249], ['63%', 252, 254], ['control value', 255, 257], ['Fig. 5B', 258, 261], ['distribution', 263, 264], ['the gradient', 265, 267], ['the exception', 271, 273], ['fraction', 274, 275], ['levels', 278, 279], ['control', 282, 283], ['Fig', 284, 285]]"
43,S0167610513001001-739.txt,Median wind speed is 7.83 m s−1.,"[['NORP', 16, 17], ['CARDINAL', 20, 21]]","[['Median wind speed', 16, 19], ['7.83 m', 20, 22], ['s−1', 22, 23]]"
44,S0167577X13006393-399.txt,The pure PLGA spectrum shows the C3O characteristic bands in the region 1065–1280 cm−1.,"[['NORP', 36, 37], ['CARDINAL', 46, 47]]","[['The pure PLGA spectrum', 34, 38], ['the C3O characteristic bands', 39, 43], ['the region', 44, 46], ['1065–1280 cm−1', 46, 48]]"
45,S0167577X13006393-399.txt,"The spectrum of HA nanopowder reveals the characteristic peak assigned to PO43−: ν1 vibration mode at about 964 cm−1, ν3 vibration mode at 1031 cm−1 and 1091 cm−1 (asymmetric) respectively.","[['PERSON', 60, 61], ['CARDINAL', 66, 68], ['DATE', 74, 75], ['DATE', 77, 78]]","[['The spectrum', 49, 51], ['HA nanopowder', 52, 54], ['the characteristic peak', 55, 58], ['PO43−', 60, 61], ['ν1 vibration mode', 62, 65], ['about 964 cm−1', 66, 69], ['ν3 vibration mode', 70, 73], ['1031 cm−1', 74, 76], ['1091 cm−1', 77, 79], ['(asymmetric', 79, 81]]"
46,S0167577X13006393-399.txt,The spectrum of untreated PLGA–HA 50% displays both characteristics of PLGA and HA.,"[['PERCENT', 91, 93], ['ORG', 97, 98]]","[['The spectrum', 84, 86], ['untreated PLGA', 87, 89], ['HA 50% displays', 90, 94], ['both characteristics', 94, 96], ['PLGA', 97, 98], ['HA', 99, 100]]"
47,S1550413113004920-1509.txt,We recruited 147 patients from consanguineous pedigrees (parents of the proband were second cousins or more closely related) who were diagnosed with permanent diabetes before 6 months of age or were diagnosed with permanent diabetes before 9 months and had any additional clinical features that made a diagnosis of type 1 diabetes less likely.,"[['CARDINAL', 2, 3], ['ORDINAL', 13, 14], ['DATE', 27, 31], ['DATE', 38, 40], ['CARDINAL', 52, 53]]","[['We', 0, 1], ['147 patients', 2, 4], ['consanguineous pedigrees', 5, 7], ['parents', 8, 9], ['the proband', 10, 12], ['second cousins', 13, 15], ['who', 20, 21], ['permanent diabetes', 24, 26], ['6 months', 27, 29], ['age', 30, 31], ['permanent diabetes', 35, 37], ['9 months', 38, 40], ['any additional clinical features', 42, 46], ['a diagnosis', 48, 50], ['type 1 diabetes', 51, 54]]"
48,S0167610512002292-3187.txt,"For each of the 7 initial orientations, a case, numbered 4 in Table 2, was run using a 0.563 m square plate of thickness 0.025 m.","[['CARDINAL', 4, 5], ['CARDINAL', 12, 13], ['QUANTITY', 21, 24], ['CARDINAL', 27, 28]]","[['the 7 initial orientations', 3, 7], ['a case', 8, 10], ['Table', 14, 15], ['a 0.563 m square plate', 20, 25], ['thickness 0.025 m.', 26, 29]]"
49,S0167610512002292-3187.txt,"The density of the plate was adjusted to ensure that at the mean horizontal wind flow, the Tachikawa number, K and Froude number Fr are the same as in the number 1 cases.","[['ORG', 47, 48], ['PERSON', 54, 55], ['CARDINAL', 62, 63]]","[['The density', 29, 31], ['the plate', 32, 34], ['the mean horizontal wind flow', 40, 45], ['the Tachikawa number', 46, 49], ['K and Froude number', 50, 54], ['Fr', 54, 55], ['the number 1 cases', 60, 64]]"
50,S0167610512002292-3187.txt,"The result is two sets of cases, A1 to G1 and A4 to G4, with the same set of initial orientations, aspect ratio and flow parameter but considerably lower thickness ratio, τ=t/L, and non-dimensionalised mass moment of inertia about the Z-axis, Δzz, in the A4 to G4 cases.","[['CARDINAL', 68, 69], ['PERSON', 73, 74], ['PRODUCT', 77, 78], ['CARDINAL', 79, 80], ['PRODUCT', 124, 125], ['CARDINAL', 126, 127]]","[['The result', 65, 67], ['two sets', 68, 70], ['cases', 71, 72], ['A1', 73, 74], ['G1', 75, 76], ['A4', 77, 78], ['G4', 79, 80], ['the same set', 82, 85], ['initial orientations', 86, 88], ['aspect ratio', 89, 91], ['flow', 92, 93], ['parameter', 93, 94], ['considerably lower thickness ratio', 95, 99], ['inertia', 113, 114], ['the Z-axis', 115, 119], ['the A4', 123, 125], ['cases', 127, 128]]"
51,S0167610512002292-3187.txt,"Similarly a fifth case, numbered 5 in Table 2 is run for each initial orientation, and the plate's K, FrL, τ and Δzz are kept constant relative to cases numbered 4, but the width of the plate, B is increased to give a higher aspect ratio.","[['ORDINAL', 131, 132], ['CARDINAL', 135, 136], ['ORG', 150, 153], ['CARDINAL', 164, 165]]","[['Similarly a fifth case', 129, 133], ['Table', 137, 138], ['each initial orientation', 142, 145], [""the plate's K"", 147, 151], ['FrL', 152, 153], ['τ', 154, 155], ['Δzz', 156, 157], ['constant relative', 159, 161], ['cases', 162, 163], ['the width', 167, 169], ['the plate', 170, 172], ['B', 173, 174], ['a higher aspect ratio', 178, 182]]"
52,S0927024813002961-1051.txt,"Specific consideration is given to the accuracy of module inter-comparisons, as most outdoor monitoring at this scale is conducted to compare devices against one another.",[],"[['Specific consideration', 94, 96], ['the accuracy', 99, 101], ['module', 102, 103], ['-', 104, 105], ['comparisons', 105, 106], ['most outdoor monitoring', 108, 111], ['this scale', 112, 114], ['devices', 118, 119]]"
53,S0927024813002961-1051.txt,It is shown that there are five main contributors to differences in energy delivery and the magnitude of these depends on the environments in which the devices are operated.,"[['CARDINAL', 129, 130]]","[['It', 123, 124], ['five main contributors', 129, 132], ['differences', 133, 134], ['energy delivery', 135, 137], ['the magnitude', 138, 140], ['the environments', 144, 146], ['the devices', 148, 150]]"
54,S0927024813002961-1051.txt,"The paper shows that two effects, typically not considered in inter-comparisons, dominate the reported energy delivery.","[['CARDINAL', 157, 158]]","[['The paper', 153, 155], ['two effects', 157, 159], ['-', 165, 166], ['comparisons', 166, 167], ['the reported energy delivery', 169, 173]]"
55,S0927024813002961-1051.txt,"Environmental influences such as light intensity, spectrum and operating temperature introduce performance variations typically in the range of 2–7% in the course of a year.","[['PERCENT', 193, 195], ['DATE', 199, 201]]","[['Environmental influences', 174, 176], ['light intensity', 178, 180], ['temperature introduce performance variations', 184, 188], ['the range', 190, 192], ['2–7%', 193, 195], ['the course', 196, 198], ['a year', 199, 201]]"
56,S0927024813002961-1051.txt,"Here, the power rating is a key factor and adds uncertainty for new technologies such as thin films often in the range of 10–15%.","[['PERCENT', 247, 249]]","[['the power rating', 225, 228], ['a key factor', 229, 232], ['uncertainty', 234, 235], ['new technologies', 236, 238], ['thin films', 240, 242], ['the range', 244, 246], ['10–15%', 247, 249]]"
57,S0927024813002961-1051.txt,"This dominates inter-comparisons looking at as-new, first-year energy yields, yet considering the life-time energy yield it is found that ageing causes up to 25% variation between different devices.","[['DATE', 261, 264], ['PERCENT', 283, 285]]","[['comparisons', 254, 255], ['as-new, first-year energy yields', 257, 266], ['the life-time energy yield', 269, 275], ['it', 275, 276], ['ageing', 279, 280], ['up to 25% variation', 281, 286], ['different devices', 287, 289]]"
58,S0019103512003995-1767.txt,"(2001) looked for absorption by species such as Na,H,He,CH+,CO+,N2+, and H2O+ in the upper atmosphere of HD209458b.","[['DATE', 5, 6], ['ORG', 14, 17], ['ORG', 24, 25]]","[['absorption', 9, 10], ['species', 11, 12], ['Na', 14, 15], ['H', 16, 17], ['He', 18, 19], ['H2O+', 24, 25], ['the upper atmosphere', 26, 29], ['HD209458b', 30, 31]]"
59,S0019103512003995-1767.txt,(2003) who attempted to measure the transit depth in the He 1083 nm line that was predicted to be significant by Seager and Sasselov (2000).,"[['DATE', 42, 43], ['ORG', 64, 67]]","[['who', 44, 45], ['the transit depth', 48, 51], ['the He', 52, 54], ['line', 56, 57], ['Seager', 64, 65], ['Sasselov', 66, 67]]"
60,S0019103512003995-1767.txt,(2004) and Narita et al.,"[['DATE', 83, 84]]","[['Narita', 86, 87], ['et al', 87, 89]]"
61,S0019103512003995-1767.txt,"(2005) who looked for transits in the Na D, Li,","[['DATE', 91, 92], ['LOC', 98, 101], ['PERSON', 102, 103]]","[['who', 93, 94], ['transits', 96, 97], ['the Na D', 98, 101]]"
62,S0012821X12004384-952.txt,Carbon isotopic results of total organic matter (δ13CTOC) and amorphous organic matter (δ13CAOM) against core 22/10a-4 lithology and Apectodinium spp.,"[['CARDINAL', 19, 20]]","[['Carbon isotopic results', 0, 3], ['total organic matter', 4, 7], ['amorphous organic matter', 11, 14], ['δ13CAOM', 15, 16], ['core 22/10a-4 lithology', 18, 21], ['Apectodinium spp', 22, 24]]"
63,S0012821X12004384-952.txt,Blue=bulk rock δ13CTOC; black=δ13CAOM; solid red symbols=bulk rock δ13CTOC from samples with <30% wood/plant tissue (determined from palynological residue of the sample); open red symbols=bulk rock δ13CTOC from samples with >30% wood/plant tissue.,"[['PERCENT', 50, 52], ['PERCENT', 76, 79]]","[['Blue=bulk rock δ13CTOC', 29, 34], ['black=δ13CAOM', 35, 38], ['solid red symbols', 39, 42], ['=bulk rock δ13CTOC', 42, 46], ['samples', 47, 48], ['<30% wood/plant tissue', 49, 56], ['palynological residue', 59, 61], ['the sample', 62, 64], ['open red symbols', 66, 69], ['=bulk rock δ13CTOC', 69, 73], ['samples', 74, 75], ['>30% wood/plant tissue', 76, 83]]"
